paper_id,dblp_key,congress,level,area,year,window,country_code,source,method,confidence,matched_by,source_work_id,doi,matched_title,n_authors_with_profiles
P0496280,conf/aistats/DangWBP25,AISTATS,A,IA / ML,2025,2021-2025,IE,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Certifiably Quantisation-Robust training and inference of Neural Networks,4
P0496221,conf/aistats/BozkurtDMXG25,AISTATS,A,IA / ML,2025,2021-2025,GB,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Density Ratio-based Proxy Causal Learning Without Density Ratios,5
P0496407,conf/aistats/KharratCH25,AISTATS,A,IA / ML,2025,2021-2025,AE,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,DPFL: Decentralized Personalized Federated Learning,3
P0496407,conf/aistats/KharratCH25,AISTATS,A,IA / ML,2025,2021-2025,SA,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,DPFL: Decentralized Personalized Federated Learning,3
P0496323,conf/aistats/GalperinK25,AISTATS,A,IA / ML,2025,2021-2025,DE,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Analyzing Generative Models by Manifold Entropic Metrics,2
P0496406,conf/aistats/KeshriSP25,AISTATS,A,IA / ML,2025,2021-2025,IN,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,On the Convergence of Continual Federated Learning Using Incrementally Aggregated Gradients,3
P0496406,conf/aistats/KeshriSP25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,On the Convergence of Continual Federated Learning Using Incrementally Aggregated Gradients,3
P0496508,conf/aistats/MishkinBG25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Level Set Teleportation: An Optimization Perspective,3
P0496723,conf/aistats/ZhangCZSZJLHCP25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Statistical Guarantees for Lifelong Reinforcement Learning using PAC-Bayes Theory,10
P0496727,conf/aistats/ZhangLSWPZ25,AISTATS,A,IA / ML,2025,2021-2025,CN,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Personalizing Low-Rank Bayesian Neural Networks Via Federated Learning,4
