acronym,title,level,area,dblp_key,n_articles,first_year,last_year,n_years,n_booktitles,n_dblp_records,n_with_doi,n_with_arxiv,doi_coverage_pct,arxiv_coverage_pct,flags
ICPC,"IEEE International Conference on Program Comprehension (previously IWPC, changed in 2006)",A,Ing. del Software,iwpc,895,2006,2025,20,1,895,895,0,100.0,0.0,
ICSA,International Conference on Software Architecture (was previously WICSA),A,Ing. del Software,icsa,193,2017,2025,9,1,193,193,0,100.0,0.0,
ICSME,"IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)",A,Ing. del Software,icsm,2108,2001,2025,25,2,2108,2107,0,99.95,0.0,
ICSOC,International Conference on Service Oriented Computing,A,Ing. del Software,icsoc,1038,2003,2022,19,1,1038,1038,0,100.0,0.0,
ICST,"International Conference on Software Testing, Verification and Validation",A,Ing. del Software,icst,1096,2008,2025,18,1,1096,1059,0,96.62,0.0,
ISSRE,International Symposium on Software Reliability Engineering,A,Ing. del Software,issre,1033,2001,2025,25,1,1033,1032,0,99.9,0.0,
ISSTA,International Symposium on Software Testing and Analysis,A,Ing. del Software,issta,1068,2002,2024,21,1,1068,1068,0,100.0,0.0,
MODELS,"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)",A,Ing. del Software,models,815,2006,2025,19,2,815,773,0,94.85,0.0,
MSR,IEEE International Working Conference on Mining Software Repositories,A,Ing. del Software,msr,1303,2004,2025,22,1,1303,1275,0,97.85,0.0,
OOPSLA,ACM Conference on Object Oriented Programming Systems Languages and Applications,A,Ing. del Software,oopsla,665,2001,2016,16,1,665,665,0,100.0,0.0,
RE,IEEE International Requirements Engineering Conference,A,Ing. del Software,re,1548,2001,2025,25,1,1548,1497,0,96.71,0.0,
SANER,"IEEE International Conference on Software Analysis, Evolution and Reengineering",A,Ing. del Software,wcre,1493,2001,2024,23,2,1493,1493,0,100.0,0.0,
SEAMS,International Symposium on Software Engineering for Adaptive and Self-Managing Systems,A,Ing. del Software,seams,124,2021,2025,5,2,124,124,0,100.0,0.0,WATCHLIST
TACAS,Tools and Algorithms for Construction and Analysis of Systems,A,Ing. del Software,tacas,728,2001,2016,16,1,728,728,0,100.0,0.0,
CoNEXT,ACM International Conference on Emerging Networking Experiments and Technologies,A,Redes,conext,802,2005,2022,18,1,802,802,0,100.0,0.0,
ICWS,IEEE International Conference on Web Services,A,Redes,icws,2542,2003,2025,23,1,2542,2457,0,96.66,0.0,
IMC,Internet Measurement Conference,A,Redes,imc,322,2022,2025,4,1,322,322,0,100.0,0.0,
MMSys,ACM Multimedia Systems Conference,A,Redes,mmsys,709,2010,2025,16,1,709,707,0,99.72,0.0,
MSWIM,"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",A,Redes,mswim,1124,2001,2025,24,1,1124,1124,0,100.0,0.0,
Mobisys,"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",A,Redes,mobisys,1378,2003,2025,23,1,1378,1378,0,100.0,0.0,
ACSAC,Annual Computer Security Applications Conference,A,Seguridad,acsac,1339,2001,2025,25,1,1339,1289,0,96.27,0.0,
ASIACRYPT,International Conference on the Theory and Application of Cryptology and Information Security,A,Seguridad,asiacrypt,437,2001,2012,12,1,437,437,0,100.0,0.0,
AsiaCCS,"Asia Conference on Information, Computer and Communications Security",A,Seguridad,asiaccs,541,2021,2025,5,1,541,541,0,100.0,0.0,
CHES,Workshop on Cryptographic Hardware and Embedded Systems,A,Seguridad,ches,552,2001,2017,17,1,552,552,0,100.0,0.0,
CSF,IEEE Computer Security Foundations Symposium (was CSFW),A,Seguridad,csfw,571,2007,2025,19,1,571,571,0,100.0,0.0,
ESORICS,European Symposium On Research In Computer Security,A,Seguridad,esorics,412,2002,2013,12,1,412,412,0,100.0,0.0,
EuroS&P,IEEE European Symposium on Security and Privacy,A,Seguridad,eurosp,441,2016,2025,10,1,441,441,0,100.0,0.0,
FC,Financial Cryptography and Data Security Conference,A,Seguridad,fc,755,2001,2025,24,4,755,755,0,100.0,0.0,WATCHLIST
PETS,Privacy Enhancing Technologies Symposium (was International Workshop of Privacy Enhancing Technologies),A,Seguridad,pet,1011,2011,2025,12,2,1011,1011,0,100.0,0.0,WATCHLIST
RAID,"The International Symposium on Research in Attacks, Intrusions and Defenses (was International Symposium on Recent Advances in Intrusion Detection)",A,Seguridad,raid,690,2002,2025,24,1,690,622,0,90.14,0.0,
SOUPS,Symposium On Usable Privacy and Security,A,Seguridad,soups,353,2005,2025,15,1,353,179,0,50.71,0.0,
DATE,"Design, Automation and Test in Europe Conference",A,Sistemas,date,7874,2001,2025,25,1,7874,6866,0,87.2,0.0,
DISC,International Symposium on Distributed Computing (was WDAG),A,Sistemas,wdag,1162,2001,2025,25,1,1162,1143,0,98.36,0.0,
DSN,IEEE/IFIP International Conference on Dependable Systems and Networks,A,Sistemas,dsn,1647,2001,2025,25,1,1647,1626,0,98.72,0.0,
EuroSys,Eurosys Conference,A,Sistemas,eurosys,775,2006,2025,20,1,775,775,0,100.0,0.0,
FAST,Conference on File and Storage Technologies,A,Sistemas,fast,565,2002,2025,23,1,565,0,0,0.0,0.0,
FPGA,ACM Int'l Symposium on Field Programmable Gate Arrays,A,Sistemas,fpga,1420,2001,2025,25,1,1420,1358,0,95.63,0.0,
HPDC,ACM International Symposium on High Performance Distributed Computing,A,Sistemas,hpdc,971,2001,2025,25,1,971,904,0,93.1,0.0,
HotOS,USENIX Workshop on Hot Topics in Operating Systems,A,Sistemas,hotos,394,2001,2025,13,1,394,204,0,51.78,0.0,
ICCAD,IEEE/ACM International Conference on Computer-Aided Design,A,Sistemas,iccad,3711,2001,2025,25,1,3711,3579,0,96.44,0.0,
ICDCS,International Conference on Distributed Computing Systems,A,Sistemas,icdcs,2847,2001,2025,25,1,2847,2838,0,99.68,0.0,
ICS,ACM International Conference on Supercomputing,A,Sistemas,ics,1090,2001,2025,25,1,1090,1090,0,100.0,0.0,
IPDPS,IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP),A,Sistemas,ipps,5528,2001,2025,25,1,5528,5500,0,99.49,0.0,
ISLPED,IEEE/ACM International Symposium on Low Power Electronics and Design,A,Sistemas,islped,1705,2001,2025,25,1,1705,1628,0,95.48,0.0,
ITC,IEEE International Test Conference,A,Sistemas,itc,2450,2001,2025,25,1,2450,2432,0,99.27,0.0,
Middleware,ACM/IFIP/USENIX International Middleware Conference,A,Sistemas,middleware,595,2001,2025,24,1,595,573,0,96.3,0.0,
RTAS,IEEE Real-Time and Embedded Technology and Applications Symposium,A,Sistemas,rtas,432,2014,2025,12,1,432,432,0,100.0,0.0,
RTSS,Real Time Systems Symposium,A,Sistemas,rtss,1074,2001,2025,25,1,1074,1074,0,100.0,0.0,
SC,"International Conference for High Performance Computing, Networking, Storage and Analysis (was Supercomputing Conference)",A,Sistemas,sc,2346,2001,2025,25,1,2346,2270,0,96.76,0.0,
USENIX,Usenix Annual Technical Conference,A,Sistemas,usenix,1057,2007,2025,19,1,1057,0,0,0.0,0.0,
ALENEX,Workshop on Algorithm Engineering and Experiments,A,Teoría,alenex,376,2001,2025,23,1,376,362,0,96.28,0.0,
APPROX/RANDOM,International Workshop on Approximation Algorithms for Combinatorial Optimization Problems and International Conference on Randomization and Computation,A,Teoría,approx,1254,2002,2025,23,3,1254,1254,0,100.0,0.0,WATCHLIST
CADE,International Conference on Automated Deduction,A,Teoría,cade,477,2002,2025,13,1,477,477,0,100.0,0.0,WATCHLIST
CCC,IEEE Conference on Computational Complexity,A,Teoría,coco,841,2001,2025,25,1,841,838,0,99.64,0.0,
CP,International Conference on Principles and Practice of Constraint Programming,A,Teoría,cp,1614,2001,2025,25,1,1614,1614,0,100.0,0.0,
ESA,European Symposium on Algorithms,A,Teoría,esa,1876,2001,2025,24,1,1876,1876,0,100.0,0.0,
GD,Graph Drawing,A,Teoría,gd,1137,2001,2025,24,1,1137,1137,0,100.0,0.0,
IJCAR,International Joint Conference on Automated Reasoning,A,Teoría,ijcar,446,2001,2022,10,1,446,446,0,100.0,0.0,WATCHLIST
ITCS,Innovations in Theoretical Computer Science,A,Teoría,innovations,1010,2012,2025,14,1,1010,1010,0,100.0,0.0,WATCHLIST
SAT,International Conference on Theory and Applications of Satisfiability Testing,A,Teoría,sat,824,2003,2025,23,1,824,776,0,94.17,0.0,
STACS,International Symposium on Theoretical Aspects of Computer Science,A,Teoría,stacs,1477,2001,2025,25,1,1477,1477,0,100.0,0.0,
ICDE,International Conference on Data Engineering,A*,Bases de datos,icde,5424,2001,2025,25,1,5424,5420,0,99.93,0.0,
ICDM,IEEE International Conference on Data Mining,A*,Bases de datos,icdm,3834,2001,2025,25,1,3834,3833,0,99.97,0.0,
KDD,ACM International Conference on Knowledge Discovery and Data Mining,A*,Bases de datos,kdd,5964,2001,2024,24,1,5964,5964,0,100.0,0.0,
PODS,ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,A*,Bases de datos,pods,735,2001,2023,23,1,735,734,0,99.86,0.0,
SIGIR,ACM International Conference on Research and Development in Information Retrieval,A*,Bases de datos,sigir,6294,2001,2025,25,1,6294,6293,0,99.98,0.0,
SIGMOD,ACM Special Interest Group on Management of Data Conference,A*,Bases de datos,sigmod,3268,2001,2022,22,1,3268,3259,0,99.72,0.0,
VLDB,International Conference on Very Large Databases,A*,Bases de datos,vldb,5792,2001,2025,25,2,5792,4820,0,83.22,0.0,WATCHLIST
WWW,International World Wide Web Conference,A*,Bases de datos,www,5251,2001,2025,25,1,5251,5251,0,100.0,0.0,
CHI,International Conference on Human Factors in Computing Systems,A*,HCI,chi,11478,2001,2025,25,1,11478,11478,0,100.0,0.0,
HRI,ACM/IEEE International Conference on Human-Robot Interaction,A*,HCI,hri,2346,2006,2025,20,1,2346,2203,0,93.9,0.0,
