paper_id,dblp_key,congress,level,area,year,window,doi,status
P0000450,conf/bmvc/StarckHI01,BMVC,A,IA / ML,2001,2001-2005,10.5244/C.15.59,found_no_affiliation_country
P0000451,conf/bmvc/StengerMC01,BMVC,A,IA / ML,2001,2001-2005,10.5244/C.15.8,found_no_affiliation_country
P0000453,conf/bmvc/TheobaldCKB01,BMVC,A,IA / ML,2001,2001-2005,10.5244/C.15.60,found_no_affiliation_country
P0000454,conf/bmvc/ThodbergR01,BMVC,A,IA / ML,2001,2001-2005,10.5244/C.15.6,found_no_affiliation_country
P0000455,conf/bmvc/TordoffM01,BMVC,A,IA / ML,2001,2001-2005,10.5244/C.15.7,found_no_affiliation_country
P0000456,conf/bmvc/TukeOA01,BMVC,A,IA / ML,2001,2001-2005,10.5244/C.15.52,found_no_affiliation_country
P0000457,conf/bmvc/TweedC01,BMVC,A,IA / ML,2001,2001-2005,10.5244/C.15.15,found_no_affiliation_country
P0000459,conf/bmvc/WalterPG01,BMVC,A,IA / ML,2001,2001-2005,10.5244/C.15.69,found_no_affiliation_country
P0000461,conf/bmvc/WernerP01,BMVC,A,IA / ML,2001,2001-2005,10.5244/C.15.46,found_no_affiliation_country
P0000462,conf/bmvc/WexlerC01,BMVC,A,IA / ML,2001,2001-2005,10.5244/C.15.17,found_no_affiliation_country
P0000463,conf/bmvc/XuE01,BMVC,A,IA / ML,2001,2001-2005,10.5244/C.15.18,found_no_affiliation_country
P0000464,conf/bmvc/ZucchelliC01,BMVC,A,IA / ML,2001,2001-2005,10.5244/C.15.20,found_no_affiliation_country
P0000465,conf/bmvc/ZucchelliK01,BMVC,A,IA / ML,2001,2001-2005,10.5244/C.15.68,found_no_affiliation_country
P0000468,conf/cav/AlurEY01,CAV,A*,Ing. del Software,2001,2001-2005,10.1007/3-540-44585-4_18,found_no_affiliation_country
P0000500,conf/cav/LevinY01,CAV,A*,Ing. del Software,2001,2001-2005,10.1007/3-540-44585-4_36,found_no_affiliation_country
P0000541,conf/coco/Shaltiel01,CCC,A,Teoría,2001,2001-2005,10.1109/CCC.2001.933878,found_no_affiliation_country
P0000551,conf/ccs/FrykholmJ01,CCS,A*,Seguridad,2001,2001-2005,10.1145/501983.501985,found_no_affiliation_country
P0000577,conf/ches/ClavierJ01,CHES,A,Seguridad,2001,2001-2005,10.1007/3-540-44709-1_25,found_no_affiliation_country
P0000579,conf/ches/GandolfiMO01,CHES,A,Seguridad,2001,2001-2005,10.1007/3-540-44709-1_21,found_no_affiliation_country
P0000589,conf/ches/McLooneM01,CHES,A,Seguridad,2001,2001-2005,10.1007/3-540-44709-1_7,found_no_affiliation_country
P0000635,conf/chi/HindusMLHB01,CHI,A*,HCI,2001,2001-2005,10.1145/365024.383749,found_no_affiliation_country
P0000694,conf/cikm/FeldmanALASR01,CIKM,A,Bases de datos,2001,2001-2005,10.1145/502585.502699,found_no_affiliation_country
P0000705,conf/cikm/HansenS01,CIKM,A,Bases de datos,2001,2001-2005,10.1145/502585.502609,found_no_affiliation_country
P0000734,conf/cikm/PapakonstantinouV01,CIKM,A,Bases de datos,2001,2001-2005,10.1145/502585.502681,found_no_affiliation_country
P0000776,conf/cp/BennaceurA01,CP,A,Teoría,2001,2001-2005,10.1007/3-540-45578-7_39,found_no_affiliation_country
P0000792,conf/cp/EreminW01,CP,A,Teoría,2001,2001-2005,10.1007/3-540-45578-7_1,found_no_affiliation_country
P0000801,conf/cp/Gennari01,CP,A,Teoría,2001,2001-2005,10.1007/3-540-45578-7_65,found_no_affiliation_country
P0000817,conf/cp/MattioliMJSG01,CP,A,Teoría,2001,2001-2005,10.1007/3-540-45578-7_57,found_no_affiliation_country
P0000840,conf/cp/Solnon01,CP,A,Teoría,2001,2001-2005,10.1007/3-540-45578-7_51,found_no_affiliation_country
P0000845,conf/cp/VerfaillieL01,CP,A,Teoría,2001,2001-2005,10.1007/3-540-45578-7_55,found_no_affiliation_country
P0000847,conf/cp/Wolf01,CP,A,Teoría,2001,2001-2005,10.1007/3-540-45578-7_18,found_no_affiliation_country
P0000858,conf/crypto/Cheon01,CRYPTO,A*,Seguridad,2001,2001-2005,10.1007/3-540-44647-8_27,found_no_affiliation_country
P0000874,conf/crypto/MacKenzieR01,CRYPTO,A*,Seguridad,2001,2001-2005,10.1007/3-540-44647-8_8,found_no_affiliation_country
P0000884,conf/caise/BielkowiczT01,CaiSE,A,Ing. del Software,2001,2001-2005,10.1007/3-540-45341-5_4,found_no_affiliation_country
P0000897,conf/caise/HuangTHN01,CaiSE,A,Ing. del Software,2001,2001-2005,10.1007/3-540-45341-5_21,found_no_affiliation_country
