acronym,title,level,area,for1,status,dblp_key,dblp_conf_url
PODS,ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,A*,Bases de datos,4605,CORE_2026_OFICIAL,pods,https://dblp.org/db/conf/pods/
POPL,ACM-SIGACT Symposium on Principles of Programming Languages,A*,Ing. del Software,4612,CORE_2026_OFICIAL,popl,https://dblp.org/db/conf/popl/
SIGCOMM,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",A*,Redes,4606,CORE_2026_OFICIAL,sigcomm,https://dblp.org/db/conf/sigcomm/
SIGGRAPH,ACM SIG International Conference on Computer Graphics and Interactive Techniques,A*,HCI,4607,CORE_2026_OFICIAL,siggraph,https://dblp.org/db/conf/siggraph/
SIGIR,ACM International Conference on Research and Development in Information Retrieval,A*,Bases de datos,4605,CORE_2026_OFICIAL,sigir,https://dblp.org/db/conf/sigir/
SIGMETRICS,Measurement and Modeling of Computer Systems,A*,Sistemas,4612,CORE_2026_OFICIAL,sigmetrics,https://dblp.org/db/conf/sigmetrics/
SIGMOD,ACM Special Interest Group on Management of Data Conference,A*,Bases de datos,4605,CORE_2026_OFICIAL,sigmod,https://dblp.org/db/conf/sigmod/
SODA,ACM/SIAM Symposium on Discrete Algorithms,A*,Teoría,4613,CORE_2026_OFICIAL,soda,https://dblp.org/db/conf/soda/
SOSP,ACM SIGOPS Symposium on Operating Systems Principles,A*,Sistemas,4606,CORE_2026_OFICIAL,sosp,https://dblp.org/db/conf/sosp/
SP,IEEE Symposium on Security and Privacy,A*,Seguridad,4604,CORE_2026_OFICIAL,sp,https://dblp.org/db/conf/sp/
STOC,ACM Symposium on Theory of Computing,A*,Teoría,4613,CORE_2026_OFICIAL,stoc,https://dblp.org/db/conf/stoc/
SiggraphA,SIGGRAPH Asia,A*,HCI,4607,CORE_2026_OFICIAL,siggrapha,https://dblp.org/db/conf/siggrapha/
SoCG,International Symposium on Computational Geometry,A*,Teoría,4613,CORE_2026_OFICIAL,compgeom,https://dblp.org/db/conf/compgeom/
UIST,ACM Symposium on User Interface Software and Technology,A*,HCI,4608,CORE_2026_OFICIAL,uist,https://dblp.org/db/conf/uist/
USENIX-Security,Usenix Security Symposium,A*,Seguridad,4604,CORE_2026_OFICIAL,uss,https://dblp.org/db/conf/uss/
VLDB,International Conference on Very Large Databases,A*,Bases de datos,4605,CORE_2026_OFICIAL,vldb,https://dblp.org/db/conf/vldb/
VR,IEEE Conference on Virtual Reality and 3D User Interfaces,A*,HCI,4607,CORE_2026_OFICIAL,vr,https://dblp.org/db/conf/vr/
WWW,International World Wide Web Conference,A*,Bases de datos,4606,CORE_2026_OFICIAL,www,https://dblp.org/db/conf/www/
