window,country_code,country_articles,eu27_uk_articles,resolved_articles,country_name,is_eu27_uk,share_resolved,share_resolved_pct,share_eu27_uk,share_eu27_uk_pct
2001-2005,GP,4,14240,44770,GP,False,8.9e-05,0.009,0.000281,0.028
2001-2005,BD,3,14240,44770,BD,False,6.7e-05,0.007,0.000211,0.021
2001-2005,CU,3,14240,44770,CU,False,6.7e-05,0.007,0.000211,0.021
2001-2005,GH,3,14240,44770,GH,False,6.7e-05,0.007,0.000211,0.021
2001-2005,KE,3,14240,44770,KE,False,6.7e-05,0.007,0.000211,0.021
2001-2005,MK,3,14240,44770,MK,False,6.7e-05,0.007,0.000211,0.021
2001-2005,MQ,3,14240,44770,MQ,False,6.7e-05,0.007,0.000211,0.021
2001-2005,OM,3,14240,44770,OM,False,6.7e-05,0.007,0.000211,0.021
2001-2005,TJ,3,14240,44770,TJ,False,6.7e-05,0.007,0.000211,0.021
2001-2005,VG,3,14240,44770,VG,False,6.7e-05,0.007,0.000211,0.021
2001-2005,BO,2,14240,44770,BO,False,4.5e-05,0.004,0.00014,0.014
2001-2005,CR,2,14240,44770,CR,False,4.5e-05,0.004,0.00014,0.014
2001-2005,KW,2,14240,44770,KW,False,4.5e-05,0.004,0.00014,0.014
2001-2005,LK,2,14240,44770,LK,False,4.5e-05,0.004,0.00014,0.014
2001-2005,MD,2,14240,44770,MD,False,4.5e-05,0.004,0.00014,0.014
2001-2005,QA,2,14240,44770,QA,False,4.5e-05,0.004,0.00014,0.014
2001-2005,SO,2,14240,44770,SO,False,4.5e-05,0.004,0.00014,0.014
2001-2005,BW,1,14240,44770,BW,False,2.2e-05,0.002,7e-05,0.007
2001-2005,CI,1,14240,44770,CI,False,2.2e-05,0.002,7e-05,0.007
2001-2005,CM,1,14240,44770,CM,False,2.2e-05,0.002,7e-05,0.007
2001-2005,EC,1,14240,44770,EC,False,2.2e-05,0.002,7e-05,0.007
2001-2005,ID,1,14240,44770,ID,False,2.2e-05,0.002,7e-05,0.007
2001-2005,JO,1,14240,44770,JO,False,2.2e-05,0.002,7e-05,0.007
2001-2005,KH,1,14240,44770,KH,False,2.2e-05,0.002,7e-05,0.007
2001-2005,MT,1,14240,44770,MT,True,2.2e-05,0.002,7e-05,0.007
2001-2005,MU,1,14240,44770,MU,False,2.2e-05,0.002,7e-05,0.007
2001-2005,MZ,1,14240,44770,MZ,False,2.2e-05,0.002,7e-05,0.007
2001-2005,NC,1,14240,44770,NC,False,2.2e-05,0.002,7e-05,0.007
2001-2005,PA,1,14240,44770,PA,False,2.2e-05,0.002,7e-05,0.007
2001-2005,SZ,1,14240,44770,SZ,False,2.2e-05,0.002,7e-05,0.007
