paper_id,dblp_key,congress,level,area,year,window,country_code,source,method,confidence,matched_by,source_work_id,source_doi,venue_query,source_id,matched_title,n_institutions_for_country
P0237661,conf/aaai/LiebmanKSS17,AAAI,A*,IA / ML,2017,2016-2020,US,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2604123814,https://doi.org/10.1609/aaai.v31i2.19100,AAAI Conference on Artificial Intelligence,S4210191458,Designing Better Playlists with Monte Carlo Tree Search,4
P0237731,conf/aaai/MohanVSP17,AAAI,A*,IA / ML,2017,2016-2020,US,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2605353802,https://doi.org/10.1609/aaai.v31i2.19101,AAAI Conference on Artificial Intelligence,S4210191458,On Designing a Social Coach to Promote Regular Aerobic Exercise,4
P0237777,conf/aaai/PanYML17,AAAI,A*,IA / ML,2017,2016-2020,CA,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2604272310,https://doi.org/10.1609/aaai.v31i2.19102,AAAI Conference on Artificial Intelligence,S4210191458,Crowdsensing Air Quality with Camera-Enabled Mobile Devices,1
P0237777,conf/aaai/PanYML17,AAAI,A*,IA / ML,2017,2016-2020,SG,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2604272310,https://doi.org/10.1609/aaai.v31i2.19102,AAAI Conference on Artificial Intelligence,S4210191458,Crowdsensing Air Quality with Camera-Enabled Mobile Devices,3
P0237898,conf/aaai/ThomasTGDB17,AAAI,A*,IA / ML,2017,2016-2020,US,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2605323209,https://doi.org/10.1609/aaai.v31i2.19104,AAAI Conference on Artificial Intelligence,S4210191458,"Predictive Off-Policy Policy Evaluation for Nonstationary Decision Problems, with Applications to Digital Marketing",5
P0237900,conf/aaai/TorradoRT17,AAAI,A*,IA / ML,2017,2016-2020,ES,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2604799762,https://doi.org/10.1609/aaai.v31i2.19103,AAAI Conference on Artificial Intelligence,S4210191458,Optimal Sequential Drilling for Hydrocarbon Field Development Planning,1
P0237903,conf/aaai/TripathiASMB17,AAAI,A*,IA / ML,2017,2016-2020,IN,openalex,source_or_venue_year_title_match,0.9231,title_fuzzy,https://openalex.org/W4292333043,https://doi.org/10.1609/aaai.v31i2.19105,AAAI Conference on Artificial Intelligence,S4210191458,Using Deep and Convolutional Neural Networks for Accurate Emotion Classification on DEAP Data,2
P0237903,conf/aaai/TripathiASMB17,AAAI,A*,IA / ML,2017,2016-2020,US,openalex,source_or_venue_year_title_match,0.9231,title_fuzzy,https://openalex.org/W4292333043,https://doi.org/10.1609/aaai.v31i2.19105,AAAI Conference on Artificial Intelligence,S4210191458,Using Deep and Convolutional Neural Networks for Accurate Emotion Classification on DEAP Data,1
P0237922,conf/aaai/WangLK17a,AAAI,A*,IA / ML,2017,2016-2020,SI,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2605176063,https://doi.org/10.1609/aaai.v31i2.19106,AAAI Conference on Artificial Intelligence,S4210191458,A Logic Based Approach to Answering Questions about Alternatives in DIY Domains,1
P0237922,conf/aaai/WangLK17a,AAAI,A*,IA / ML,2017,2016-2020,US,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2605176063,https://doi.org/10.1609/aaai.v31i2.19106,AAAI Conference on Artificial Intelligence,S4210191458,A Logic Based Approach to Answering Questions about Alternatives in DIY Domains,2
P0237967,conf/aaai/XueBBRBBLSDGG17,AAAI,A*,IA / ML,2017,2016-2020,CN,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2963005527,https://doi.org/10.1609/aaai.v31i2.19087,AAAI Conference on Artificial Intelligence,S4210191458,Phase-Mapper: An AI Platform to Accelerate High Throughput Materials Discovery,1
P0237967,conf/aaai/XueBBRBBLSDGG17,AAAI,A*,IA / ML,2017,2016-2020,US,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2963005527,https://doi.org/10.1609/aaai.v31i2.19087,AAAI Conference on Artificial Intelligence,S4210191458,Phase-Mapper: An AI Platform to Accelerate High Throughput Materials Discovery,9
P0280956,conf/aaai/0002KBDI19,AAAI,A*,IA / ML,2019,2016-2020,US,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2904317054,https://doi.org/10.1609/aaai.v33i01.33017924,AAAI Conference on Artificial Intelligence,S4210191458,Anytime Recursive Best-First Search for Bounding Marginal MAP,2
P0281773,conf/aaai/PolatoA19,AAAI,A*,IA / ML,2019,2016-2020,IT,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2904489657,https://doi.org/10.1609/aaai.v33i01.33014723,AAAI Conference on Artificial Intelligence,S4210191458,Interpretable Preference Learning: A Game Theoretic Framework for Large Margin On-Line Feature and Rule Learning,2
P0308351,conf/aaai/WangGGL020,AAAI,A*,IA / ML,2020,2016-2020,US,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2998520009,https://doi.org/10.1609/aaai.v34i04.6078,AAAI Conference on Artificial Intelligence,S4210191458,Estimating Stochastic Linear Combination of Non-Linear Regressions,5
P0308510,conf/aaai/XuGCLZB20,AAAI,A*,IA / ML,2020,2016-2020,US,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2998540609,https://doi.org/10.1609/aaai.v34i04.6126,AAAI Conference on Artificial Intelligence,S4210191458,Generative-Discriminative Complementary Learning,5
P0337846,conf/aaai/OsticBB21,AAAI,A*,IA / ML,2021,2021-2025,CA,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W3177370677,https://doi.org/10.1609/aaai.v35i18.17927,AAAI Conference on Artificial Intelligence,S4210191458,Solving JumpIN’ Using Zero-Dependency Reinforcement Learning (Student Abstract),3
P0337981,conf/aaai/SchroeterSM21,AAAI,A*,IA / ML,2021,2021-2025,GB,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W3174659235,https://doi.org/10.1609/aaai.v35i11.17145,AAAI Conference on Artificial Intelligence,S4210191458,Learning Precise Temporal Point Event Detection with Misaligned Labels,3
P0338494,conf/aaai/ZhangWJSLY21,AAAI,A*,IA / ML,2021,2021-2025,CN,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W3177162571,https://doi.org/10.1609/aaai.v35i16.17704,AAAI Conference on Artificial Intelligence,S4210191458,News Content Completion with Location-Aware Image Selection,4
P0338494,conf/aaai/ZhangWJSLY21,AAAI,A*,IA / ML,2021,2021-2025,JP,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W3177162571,https://doi.org/10.1609/aaai.v35i16.17704,AAAI Conference on Artificial Intelligence,S4210191458,News Content Completion with Location-Aware Image Selection,2
P0402666,conf/aaai/CamposPJGDXC23,AAAI,A*,IA / ML,2023,2021-2025,US,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W4382464386,https://doi.org/10.1609/aaai.v37i13.26857,AAAI Conference on Artificial Intelligence,S4210191458,Compressing Cross-Lingual Multi-Task Models at Qualtrics,1
P0403487,conf/aaai/Lukina23,AAAI,A*,IA / ML,2023,2021-2025,NL,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W4382464440,https://doi.org/10.1609/aaai.v37i13.26815,AAAI Conference on Artificial Intelligence,S4210191458,Combining Runtime Monitoring and Machine Learning with Human Feedback,1
P0442934,conf/aaai/GoralGBSK24,AAAI,A*,IA / ML,2024,2021-2025,DE,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W4393161164,https://doi.org/10.1609/aaai.v38i18.30022,AAAI Conference on Artificial Intelligence,S4210191458,Model Counting and Sampling via Semiring Extensions,5
P0489998,conf/aaai/EhyaeiFS25,AAAI,A*,IA / ML,2025,2021-2025,CA,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W4409364512,https://doi.org/10.1609/aaai.v39i16.33808,AAAI Conference on Artificial Intelligence,S4210191458,Designing Ambiguity Sets for Distributionally Robust Optimization Using Structural Causal Optimal Transport,1
P0489998,conf/aaai/EhyaeiFS25,AAAI,A*,IA / ML,2025,2021-2025,DE,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W4409364512,https://doi.org/10.1609/aaai.v39i16.33808,AAAI Conference on Artificial Intelligence,S4210191458,Designing Ambiguity Sets for Distributionally Robust Optimization Using Structural Causal Optimal Transport,2
P0182164,conf/atal/FaliszewskiRRS14,AAMAS,A,IA / ML,2014,2011-2015,DE,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2953305595,https://doi.org/10.1007/s10458-014-9277-x,Autonomous Agents and Multi-Agent Systems,S5405189,"Complexity of manipulation, bribery, and campaign management in Bucklin and fallback voting",3
P0182164,conf/atal/FaliszewskiRRS14,AAMAS,A,IA / ML,2014,2011-2015,PL,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2953305595,https://doi.org/10.1007/s10458-014-9277-x,Autonomous Agents and Multi-Agent Systems,S5405189,"Complexity of manipulation, bribery, and campaign management in Bucklin and fallback voting",1
P0218724,conf/atal/JensenDV16,AAMAS,A,IA / ML,2016,2016-2020,DK,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W4236044882,https://doi.org/10.1007/s10458-015-9324-2,Autonomous Agents and Multi-Agent Systems,S5405189,A framework for organization-aware agents,2
P0218724,conf/atal/JensenDV16,AAMAS,A,IA / ML,2016,2016-2020,NL,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W4236044882,https://doi.org/10.1007/s10458-015-9324-2,Autonomous Agents and Multi-Agent Systems,S5405189,A framework for organization-aware agents,1
P0259334,conf/atal/MonacoMV18,AAMAS,A,IA / ML,2018,2016-2020,IT,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2797849868,https://doi.org/10.1007/s10458-019-09431-z,Autonomous Agents and Multi-Agent Systems,S5405189,Stable Outcomes in Modified Fractional Hedonic Games,6
P0282618,conf/atal/SerafinoVV19,AAMAS,A,IA / ML,2019,2016-2020,GB,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2913760251,https://doi.org/10.1007/s10458-019-09435-9,Autonomous Agents and Multi-Agent Systems,S5405189,Truthfulness on a budget: trading money for approximation through monitoring,1
P0282618,conf/atal/SerafinoVV19,AAMAS,A,IA / ML,2019,2016-2020,GR,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2913760251,https://doi.org/10.1007/s10458-019-09435-9,Autonomous Agents and Multi-Agent Systems,S5405189,Truthfulness on a budget: trading money for approximation through monitoring,1
P0282618,conf/atal/SerafinoVV19,AAMAS,A,IA / ML,2019,2016-2020,IT,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2913760251,https://doi.org/10.1007/s10458-019-09435-9,Autonomous Agents and Multi-Agent Systems,S5405189,Truthfulness on a budget: trading money for approximation through monitoring,1
P0282627,conf/atal/Shmaryahu0S19,AAMAS,A,IA / ML,2019,2016-2020,DE,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2944777644,https://doi.org/10.1007/s10458-019-09406-0,Autonomous Agents and Multi-Agent Systems,S5405189,Comparative criteria for partially observable contingent planning,1
P0282627,conf/atal/Shmaryahu0S19,AAMAS,A,IA / ML,2019,2016-2020,IL,openalex,source_or_venue_year_title_match,1.0,title_exact,https://openalex.org/W2944777644,https://doi.org/10.1007/s10458-019-09406-0,Autonomous Agents and Multi-Agent Systems,S5405189,Comparative criteria for partially observable contingent planning,2
