level,window,country_code,country_articles,eu27_uk_articles,resolved_articles,country_name,is_eu27_uk,share_eu27_uk,share_eu27_uk_pct
A*,2001-2005,SZ,1,5132,19335,SZ,False,0.000195,0.019
A*,2001-2005,TJ,1,5132,19335,TJ,False,0.000195,0.019
A*,2001-2005,TZ,1,5132,19335,TZ,False,0.000195,0.019
A*,2001-2005,UA,1,5132,19335,UA,False,0.000195,0.019
A*,2001-2005,VG,1,5132,19335,VG,False,0.000195,0.019
A*,2001-2005,YE,1,5132,19335,YE,False,0.000195,0.019
A*,2006-2010,US,15373,8215,28455,United States,False,1.871333,187.133
A*,2006-2010,GB,2062,8215,28455,United Kingdom,True,0.251004,25.1
A*,2006-2010,DE,1993,8215,28455,Germany,True,0.242605,24.26
A*,2006-2010,CN,1914,8215,28455,China,False,0.232988,23.299
A*,2006-2010,CA,1844,8215,28455,Canada,False,0.224467,22.447
A*,2006-2010,JP,1716,8215,28455,Japan,False,0.208886,20.889
A*,2006-2010,FR,1588,8215,28455,France,True,0.193305,19.33
A*,2006-2010,IL,879,8215,28455,Israel,False,0.106999,10.7
A*,2006-2010,CH,870,8215,28455,Switzerland,False,0.105904,10.59
A*,2006-2010,IT,770,8215,28455,Italy,True,0.093731,9.373
A*,2006-2010,AU,684,8215,28455,Australia,False,0.083262,8.326
A*,2006-2010,SG,681,8215,28455,Singapore,False,0.082897,8.29
A*,2006-2010,HK,547,8215,28455,Hong Kong,False,0.066586,6.659
A*,2006-2010,KR,531,8215,28455,South Korea,False,0.064638,6.464
A*,2006-2010,ES,528,8215,28455,Spain,True,0.064273,6.427
A*,2006-2010,NL,509,8215,28455,Netherlands,True,0.06196,6.196
A*,2006-2010,IN,444,8215,28455,India,False,0.054047,5.405
A*,2006-2010,TW,344,8215,28455,Taiwan,False,0.041875,4.187
A*,2006-2010,AT,269,8215,28455,Austria,True,0.032745,3.274
A*,2006-2010,SE,261,8215,28455,Sweden,True,0.031771,3.177
A*,2006-2010,BE,255,8215,28455,Belgium,True,0.031041,3.104
A*,2006-2010,GR,214,8215,28455,Greece,True,0.02605,2.605
A*,2006-2010,FI,213,8215,28455,Finland,True,0.025928,2.593
A*,2006-2010,DK,189,8215,28455,Denmark,True,0.023007,2.301
A*,2006-2010,BR,131,8215,28455,Brazil,False,0.015946,1.595
A*,2006-2010,IE,112,8215,28455,Ireland,True,0.013634,1.363
A*,2006-2010,CZ,98,8215,28455,Czechia,True,0.011929,1.193
A*,2006-2010,NZ,97,8215,28455,NZ,False,0.011808,1.181
A*,2006-2010,PT,91,8215,28455,Portugal,True,0.011077,1.108
A*,2006-2010,NO,90,8215,28455,Norway,False,0.010956,1.096
A*,2006-2010,PL,80,8215,28455,Poland,True,0.009738,0.974
A*,2006-2010,TR,74,8215,28455,TR,False,0.009008,0.901
A*,2006-2010,HU,67,8215,28455,HU,True,0.008156,0.816
A*,2006-2010,RU,62,8215,28455,RU,False,0.007547,0.755
A*,2006-2010,MX,56,8215,28455,MX,False,0.006817,0.682
A*,2006-2010,SI,30,8215,28455,SI,True,0.003652,0.365
A*,2006-2010,AR,24,8215,28455,AR,False,0.002921,0.292
A*,2006-2010,IR,24,8215,28455,IR,False,0.002921,0.292
A*,2006-2010,TH,23,8215,28455,TH,False,0.0028,0.28
A*,2006-2010,CL,22,8215,28455,CL,False,0.002678,0.268
A*,2006-2010,BI,19,8215,28455,BI,False,0.002313,0.231
A*,2006-2010,CY,19,8215,28455,CY,True,0.002313,0.231
A*,2006-2010,PK,19,8215,28455,PK,False,0.002313,0.231
A*,2006-2010,CO,18,8215,28455,CO,False,0.002191,0.219
A*,2006-2010,ZA,18,8215,28455,ZA,False,0.002191,0.219
A*,2006-2010,SS,17,8215,28455,SS,False,0.002069,0.207
A*,2006-2010,LU,16,8215,28455,LU,True,0.001948,0.195
A*,2006-2010,EG,13,8215,28455,EG,False,0.001582,0.158
A*,2006-2010,SA,13,8215,28455,SA,False,0.001582,0.158
A*,2006-2010,HR,12,8215,28455,HR,True,0.001461,0.146
A*,2006-2010,AE,11,8215,28455,AE,False,0.001339,0.134
A*,2006-2010,EE,10,8215,28455,EE,True,0.001217,0.122
A*,2006-2010,IS,10,8215,28455,IS,False,0.001217,0.122
A*,2006-2010,MY,10,8215,28455,MY,False,0.001217,0.122
A*,2006-2010,SK,9,8215,28455,SK,True,0.001096,0.11
A*,2006-2010,MO,8,8215,28455,MO,False,0.000974,0.097
A*,2006-2010,RO,8,8215,28455,RO,True,0.000974,0.097
A*,2006-2010,NG,7,8215,28455,NG,False,0.000852,0.085
A*,2006-2010,RS,7,8215,28455,RS,False,0.000852,0.085
A*,2006-2010,VE,6,8215,28455,VE,False,0.00073,0.073
A*,2006-2010,DO,5,8215,28455,DO,False,0.000609,0.061
A*,2006-2010,JM,5,8215,28455,JM,False,0.000609,0.061
A*,2006-2010,LV,5,8215,28455,LV,True,0.000609,0.061
A*,2006-2010,BM,4,8215,28455,BM,False,0.000487,0.049
A*,2006-2010,DZ,4,8215,28455,DZ,False,0.000487,0.049
A*,2006-2010,JO,4,8215,28455,JO,False,0.000487,0.049
A*,2006-2010,LB,4,8215,28455,LB,False,0.000487,0.049
A*,2006-2010,PH,4,8215,28455,PH,False,0.000487,0.049
A*,2006-2010,QA,4,8215,28455,QA,False,0.000487,0.049
A*,2006-2010,UY,4,8215,28455,UY,False,0.000487,0.049
A*,2006-2010,MT,3,8215,28455,MT,True,0.000365,0.037
A*,2006-2010,PR,3,8215,28455,PR,False,0.000365,0.037
A*,2006-2010,BD,2,8215,28455,BD,False,0.000243,0.024
A*,2006-2010,BG,2,8215,28455,BG,True,0.000243,0.024
A*,2006-2010,ID,2,8215,28455,ID,False,0.000243,0.024
A*,2006-2010,KH,2,8215,28455,KH,False,0.000243,0.024
A*,2006-2010,TJ,2,8215,28455,TJ,False,0.000243,0.024
A*,2006-2010,TN,2,8215,28455,TN,False,0.000243,0.024
A*,2006-2010,AL,1,8215,28455,AL,False,0.000122,0.012
A*,2006-2010,BW,1,8215,28455,BW,False,0.000122,0.012
A*,2006-2010,BY,1,8215,28455,BY,False,0.000122,0.012
A*,2006-2010,CM,1,8215,28455,CM,False,0.000122,0.012
A*,2006-2010,CR,1,8215,28455,CR,False,0.000122,0.012
A*,2006-2010,FJ,1,8215,28455,FJ,False,0.000122,0.012
A*,2006-2010,GH,1,8215,28455,GH,False,0.000122,0.012
A*,2006-2010,LK,1,8215,28455,LK,False,0.000122,0.012
A*,2006-2010,MK,1,8215,28455,MK,False,0.000122,0.012
A*,2006-2010,MM,1,8215,28455,MM,False,0.000122,0.012
A*,2006-2010,TT,1,8215,28455,TT,False,0.000122,0.012
A*,2006-2010,TV,1,8215,28455,TV,False,0.000122,0.012
A*,2006-2010,TZ,1,8215,28455,TZ,False,0.000122,0.012
A*,2006-2010,UA,1,8215,28455,UA,False,0.000122,0.012
A*,2006-2010,UG,1,8215,28455,UG,False,0.000122,0.012
A*,2006-2010,VG,1,8215,28455,VG,False,0.000122,0.012
A*,2006-2010,VN,1,8215,28455,VN,False,0.000122,0.012
A*,2011-2015,US,19106,11592,37322,United States,False,1.648206,164.821
A*,2011-2015,CN,4419,11592,37322,China,False,0.381211,38.121
A*,2011-2015,GB,3154,11592,37322,United Kingdom,True,0.272084,27.208
A*,2011-2015,DE,3062,11592,37322,Germany,True,0.264148,26.415
A*,2011-2015,CA,2174,11592,37322,Canada,False,0.187543,18.754
