congress,year,n_targets,n_resolved_papers,n_evidence_rows,n_candidate_works_with_countries,n_index_titles,n_fuzzy_candidates_checked,venue_query,source_id,source_status,source_display_name,query_mode,n_pages,n_raw_results,seconds_fetch,seconds_match,seconds_total,cache_hit
AAAI,2004,194,0,0,0,0,0,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,0,0,1.015,0.003,1.018,False
AAAI,2005,325,0,0,0,0,0,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,0,0,0.437,0.009,0.446,False
AAAI,2006,385,0,0,0,0,0,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,0,0,0.766,0.012,0.777,False
AAAI,2007,368,0,0,0,0,0,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,0,0,0.825,0.011,0.836,False
AAAI,2008,356,0,0,0,0,0,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,0,0,0.43,0.01,0.44,False
AAAI,2010,15,0,0,329,329,451,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,2,332,3.112,0.011,3.124,False
AAAI,2011,22,2,3,318,318,416,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,2,323,2.125,0.01,2.138,False
AAAI,2012,8,0,0,20,20,105,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,1,21,0.832,0.003,0.838,False
AAAI,2013,5,1,1,271,270,92,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,2,275,1.927,0.008,1.937,False
AAAI,2014,10,0,0,464,464,367,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,3,472,3.46,0.012,3.476,False
AAAI,2015,13,0,0,662,661,510,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,4,674,4.367,0.014,4.386,False
AAAI,2016,16,0,0,676,676,666,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,4,690,4.24,0.031,4.279,False
AAAI,2017,43,19,26,761,760,2057,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,4,781,5.004,0.029,5.041,False
AAAI,2018,28,0,0,1074,1072,2887,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,6,1101,7.181,0.045,7.237,False
AAAI,2019,48,2,2,1297,1295,7529,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,7,1341,8.883,0.033,8.927,False
AAAI,2020,56,2,2,1813,1813,9051,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,10,1863,12.2,0.043,12.258,False
AAAI,2021,53,3,4,2269,2269,10439,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,12,2327,14.702,0.051,14.772,False
AAAI,2022,47,0,0,1577,1577,6648,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,9,1618,10.011,0.062,10.093,False
AAAI,2023,52,2,2,1971,1971,12371,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,11,2021,13.008,0.053,13.079,False
AAAI,2024,61,1,1,2807,2806,21828,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,15,2866,21.419,0.149,21.594,False
AAAI,2025,315,1,2,3172,3172,107695,AAAI Conference on Artificial Intelligence,S4210191458,resolved,Proceedings of the AAAI Conference on Artificial Intelligence,source_id,18,3485,23.314,0.282,23.619,False
AAMAS,2002,20,0,0,18,18,161,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,20,0.67,0.002,0.686,False
AAMAS,2003,11,0,0,26,26,135,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,30,0.79,0.002,0.793,False
AAMAS,2004,286,0,0,17,17,2576,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,19,0.634,0.008,0.642,False
AAMAS,2005,9,0,0,27,27,85,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,29,0.815,0.001,0.817,False
AAMAS,2006,9,0,0,38,38,42,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,39,0.727,0.002,0.729,False
AAMAS,2007,9,0,0,19,19,66,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,20,0.711,0.001,0.712,False
AAMAS,2010,328,0,0,41,41,3835,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,42,0.724,0.02,0.745,False
AAMAS,2011,276,0,0,25,25,2275,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,26,0.596,0.014,0.611,False
AAMAS,2013,321,0,0,34,34,3145,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,35,0.709,0.019,0.729,False
AAMAS,2014,378,1,2,33,33,3633,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,33,0.707,0.021,0.728,False
AAMAS,2015,363,0,0,44,44,3912,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,44,0.588,0.02,0.609,False
AAMAS,2016,280,1,2,32,32,1820,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,33,0.709,0.017,0.726,False
AAMAS,2017,316,0,0,26,26,3279,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,26,0.73,0.019,0.749,False
AAMAS,2018,389,1,1,21,21,2645,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,22,0.649,0.02,0.669,False
AAMAS,2019,438,2,5,33,33,3753,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,34,0.737,0.021,0.759,False
AAMAS,2020,369,1,1,54,54,4851,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,57,0.688,0.023,0.712,False
AAMAS,2021,304,0,0,46,46,3316,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,48,0.81,0.019,0.829,False
AAMAS,2022,306,1,1,53,53,3457,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,55,0.827,0.02,0.848,False
AAMAS,2023,528,1,3,37,37,5826,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,37,0.726,0.026,0.753,False
AAMAS,2024,460,1,1,53,53,6351,Autonomous Agents and Multi-Agent Systems,S5405189,resolved,Autonomous Agents and Multi-Agent Systems,source_id,1,53,0.821,0.02,0.841,False
ACL,2001,2,0,0,0,0,0,Annual Meeting of the Association for Computational Linguistics,S4363608652,resolved,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),source_id,0,0,0.55,0.0,0.551,False
ACL,2002,3,0,0,0,0,0,Annual Meeting of the Association for Computational Linguistics,S4363608652,resolved,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),source_id,0,0,0.49,0.0,0.49,False
ACL,2003,6,0,0,0,0,0,Annual Meeting of the Association for Computational Linguistics,S4363608652,resolved,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),source_id,0,0,0.493,0.0,0.493,False
ACL,2004,2,0,0,0,0,0,Annual Meeting of the Association for Computational Linguistics,S4363608652,resolved,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),source_id,0,0,0.577,0.0,0.577,False
ACL,2005,60,0,0,0,0,0,Annual Meeting of the Association for Computational Linguistics,S4363608652,resolved,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),source_id,0,0,0.479,0.002,0.481,False
ACL,2006,146,0,0,0,0,0,Annual Meeting of the Association for Computational Linguistics,S4363608652,resolved,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),source_id,0,0,0.454,0.002,0.456,False
ACL,2007,204,0,0,0,0,0,Annual Meeting of the Association for Computational Linguistics,S4363608652,resolved,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),source_id,0,0,0.478,0.006,0.484,False
ACL,2008,187,0,0,0,0,0,Annual Meeting of the Association for Computational Linguistics,S4363608652,resolved,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),source_id,0,0,0.51,0.006,0.515,False
ACL,2010,230,0,0,0,0,0,Annual Meeting of the Association for Computational Linguistics,S4363608652,resolved,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),source_id,0,0,0.467,0.007,0.474,False
ACL,2011,292,0,0,0,0,0,Annual Meeting of the Association for Computational Linguistics,S4363608652,resolved,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),source_id,0,0,0.459,0.008,0.467,False
ACL,2012,187,0,0,0,0,0,Annual Meeting of the Association for Computational Linguistics,S4363608652,resolved,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),source_id,0,0,0.464,0.006,0.47,False
ACL,2013,327,0,0,0,0,0,Annual Meeting of the Association for Computational Linguistics,S4363608652,resolved,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),source_id,0,0,0.463,0.012,0.475,False
ACL,2014,44,0,0,0,0,0,Annual Meeting of the Association for Computational Linguistics,S4363608652,resolved,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),source_id,0,0,0.472,0.002,0.474,False
ACL,2015,56,0,0,0,0,0,Annual Meeting of the Association for Computational Linguistics,S4363608652,resolved,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),source_id,0,0,0.466,0.002,0.468,False
ACL,2016,44,0,0,0,0,0,Annual Meeting of the Association for Computational Linguistics,S4363608652,resolved,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),source_id,0,0,0.452,0.002,0.453,False
ACL,2017,7,0,0,0,0,0,Annual Meeting of the Association for Computational Linguistics,S4363608652,resolved,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),source_id,0,0,0.458,0.0,0.459,False
ACL,2018,19,0,0,0,0,0,Annual Meeting of the Association for Computational Linguistics,S4363608652,resolved,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),source_id,0,0,0.473,0.0,0.473,False
ACL,2019,70,0,0,0,0,0,Annual Meeting of the Association for Computational Linguistics,S4363608652,resolved,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),source_id,0,0,0.562,0.003,0.564,False
ACL,2020,71,0,0,0,0,0,Annual Meeting of the Association for Computational Linguistics,S4363608652,resolved,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),source_id,0,0,0.467,0.002,0.47,False
ACL,2022,34,2,2,579,579,2081,Annual Meeting of the Association for Computational Linguistics,S4363608652,resolved,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),source_id,4,603,4.453,0.014,4.47,False
ACL,2023,56,0,0,0,0,0,Annual Meeting of the Association for Computational Linguistics,S4363608652,resolved,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),source_id,0,0,0.464,0.003,0.47,False
ACL,2024,693,0,0,0,0,0,Annual Meeting of the Association for Computational Linguistics,S4363608652,resolved,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),source_id,0,0,0.486,0.019,0.505,False
ACL,2025,1658,0,0,0,0,0,Annual Meeting of the Association for Computational Linguistics,S4363608652,resolved,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),source_id,0,0,0.559,0.03,0.588,False
ACMMM,2001,7,0,0,5,5,17,ACM Multimedia,S4306417570,resolved,ACM Multimedia,source_id,1,5,0.58,0.001,0.581,False
ACMMM,2002,9,0,0,3,3,21,ACM Multimedia,S4306417570,resolved,ACM Multimedia,source_id,1,3,0.517,0.001,0.518,False
ACMMM,2003,4,0,0,3,3,10,ACM Multimedia,S4306417570,resolved,ACM Multimedia,source_id,1,6,0.498,0.0,0.498,False
ACMMM,2004,8,0,0,2,2,16,ACM Multimedia,S4306417570,resolved,ACM Multimedia,source_id,1,3,0.479,0.001,0.48,False
ACMMM,2005,12,0,0,0,0,0,ACM Multimedia,S4306417570,resolved,ACM Multimedia,source_id,1,1,0.477,0.001,0.477,False
ACMMM,2006,7,0,0,0,0,0,ACM Multimedia,S4306417570,resolved,ACM Multimedia,source_id,0,0,0.496,0.0,0.497,False
ACMMM,2007,11,0,0,1,1,11,ACM Multimedia,S4306417570,resolved,ACM Multimedia,source_id,1,3,0.491,0.001,0.491,False
ACMMM,2008,5,0,0,5,5,23,ACM Multimedia,S4306417570,resolved,ACM Multimedia,source_id,1,6,0.53,0.001,0.531,False
ACMMM,2009,4,0,0,4,4,13,ACM Multimedia,S4306417570,resolved,ACM Multimedia,source_id,1,4,0.601,0.0,0.601,False
ACMMM,2010,12,0,0,3,3,32,ACM Multimedia,S4306417570,resolved,ACM Multimedia,source_id,1,3,0.461,0.001,0.462,False
ACMMM,2011,9,0,0,2,2,18,ACM Multimedia,S4306417570,resolved,ACM Multimedia,source_id,1,2,0.447,0.001,0.448,False
ACMMM,2012,3,0,0,3,3,9,ACM Multimedia,S4306417570,resolved,ACM Multimedia,source_id,1,3,0.466,0.0,0.467,False
ACMMM,2013,4,0,0,2,2,7,ACM Multimedia,S4306417570,resolved,ACM Multimedia,source_id,1,2,0.466,0.0,0.467,False
ACMMM,2014,1,0,0,1,1,1,ACM Multimedia,S4306417570,resolved,ACM Multimedia,source_id,1,1,0.457,0.0,0.457,False
ACMMM,2015,3,0,0,2,2,6,ACM Multimedia,S4306417570,resolved,ACM Multimedia,source_id,1,2,0.543,0.0,0.543,False
ACMMM,2016,4,0,0,3,3,10,ACM Multimedia,S4306417570,resolved,ACM Multimedia,source_id,1,3,0.486,0.0,0.486,False
ACMMM,2017,9,0,0,1,1,9,ACM Multimedia,S4306417570,resolved,ACM Multimedia,source_id,1,2,0.446,0.001,0.446,False
ACMMM,2018,38,1,1,3,3,42,ACM Multimedia,S4306417570,resolved,ACM Multimedia,source_id,1,5,0.472,0.001,0.473,False
ACMMM,2019,4,0,0,0,0,0,ACM Multimedia,S4306417570,resolved,ACM Multimedia,source_id,0,0,0.485,0.0,0.485,False
ACMMM,2020,4,0,0,1,1,4,ACM Multimedia,S4306417570,resolved,ACM Multimedia,source_id,1,1,0.438,0.0,0.439,False
ACMMM,2021,8,0,0,0,0,0,ACM Multimedia,S4306417570,resolved,ACM Multimedia,source_id,0,0,0.484,0.0,0.485,False
ACMMM,2022,10,0,0,0,0,0,ACM Multimedia,S4306417570,resolved,ACM Multimedia,source_id,0,0,0.454,0.0,0.455,False
ACMMM,2023,9,0,0,0,0,0,ACM Multimedia,S4306417570,resolved,ACM Multimedia,source_id,0,0,0.468,0.0,0.468,False
ACMMM,2024,8,0,0,0,0,0,ACM Multimedia,S4306417570,resolved,ACM Multimedia,source_id,0,0,0.472,0.0,0.472,False
ACMMM,2025,55,0,0,0,0,0,ACM Multimedia,S4306417570,resolved,ACM Multimedia,source_id,0,0,0.46,0.002,0.462,False
ACSAC,2001,8,0,0,5,5,32,Computer Security Applications Conference,S4306417673,resolved,Annual Computer Security Applications Conference,source_id,1,8,0.539,0.001,0.54,False
ACSAC,2002,5,0,0,0,0,0,Computer Security Applications Conference,S4306417673,resolved,Annual Computer Security Applications Conference,source_id,1,3,0.467,0.0,0.467,False
ACSAC,2003,2,0,0,0,0,0,Computer Security Applications Conference,S4306417673,resolved,Annual Computer Security Applications Conference,source_id,1,1,0.45,0.0,0.451,False
ACSAC,2004,1,0,0,0,0,0,Computer Security Applications Conference,S4306417673,resolved,Annual Computer Security Applications Conference,source_id,0,0,0.503,0.0,0.504,False
ACSAC,2005,13,0,0,0,0,0,Computer Security Applications Conference,S4306417673,resolved,Annual Computer Security Applications Conference,source_id,0,0,0.577,0.001,0.578,False
ACSAC,2006,1,0,0,1,1,1,Computer Security Applications Conference,S4306417673,resolved,Annual Computer Security Applications Conference,source_id,1,1,0.583,0.0,0.583,False
ACSAC,2007,1,0,0,0,0,0,Computer Security Applications Conference,S4306417673,resolved,Annual Computer Security Applications Conference,source_id,0,0,0.466,0.0,0.466,False
ACSAC,2008,1,0,0,0,0,0,Computer Security Applications Conference,S4306417673,resolved,Annual Computer Security Applications Conference,source_id,0,0,0.479,0.0,0.479,False
ACSAC,2009,1,0,0,0,0,0,Computer Security Applications Conference,S4306417673,resolved,Annual Computer Security Applications Conference,source_id,0,0,0.829,0.0,0.829,False
ACSAC,2011,1,0,0,0,0,0,Computer Security Applications Conference,S4306417673,resolved,Annual Computer Security Applications Conference,source_id,0,0,0.61,0.0,0.61,False
ACSAC,2012,1,0,0,1,1,1,Computer Security Applications Conference,S4306417673,resolved,Annual Computer Security Applications Conference,source_id,1,3,0.461,0.0,0.461,False
ACSAC,2013,1,0,0,0,0,0,Computer Security Applications Conference,S4306417673,resolved,Annual Computer Security Applications Conference,source_id,0,0,0.462,0.0,0.462,False
ACSAC,2014,2,0,0,0,0,0,Computer Security Applications Conference,S4306417673,resolved,Annual Computer Security Applications Conference,source_id,0,0,0.486,0.0,0.486,False
ACSAC,2016,48,0,0,0,0,0,Computer Security Applications Conference,S4306417673,resolved,Annual Computer Security Applications Conference,source_id,0,0,0.436,0.002,0.438,False
ACSAC,2019,3,0,0,0,0,0,Computer Security Applications Conference,S4306417673,resolved,Annual Computer Security Applications Conference,source_id,0,0,0.484,0.0,0.484,False
ACSAC,2020,1,0,0,69,69,13,Computer Security Applications Conference,S4306417673,resolved,Annual Computer Security Applications Conference,source_id,1,70,0.892,0.002,0.895,False
ACSAC,2021,1,0,0,79,79,79,Computer Security Applications Conference,S4306417673,resolved,Annual Computer Security Applications Conference,source_id,1,80,0.903,0.002,0.906,False
ACSAC,2023,1,0,0,58,58,7,Computer Security Applications Conference,S4306417673,resolved,Annual Computer Security Applications Conference,source_id,1,59,0.834,0.002,0.837,False
ACSAC,2024,2,0,0,0,0,0,Computer Security Applications Conference,S4306417673,resolved,Annual Computer Security Applications Conference,source_id,0,0,0.498,0.0,0.498,False
ACSAC,2025,2,0,0,0,0,0,Computer Security Applications Conference,S4306417673,resolved,Annual Computer Security Applications Conference,source_id,0,0,0.457,0.0,0.457,False
AIED,2005,206,0,0,0,0,0,Artificial Intelligence in Education,S4306417720,resolved,Artificial Intelligence in Education,source_id,0,0,0.582,0.006,0.588,False
AIED,2007,149,0,0,0,0,0,Artificial Intelligence in Education,S4306417720,resolved,Artificial Intelligence in Education,source_id,0,0,0.47,0.007,0.477,False
AIED,2009,23,0,0,0,0,0,Artificial Intelligence in Education,S4306417720,resolved,Artificial Intelligence in Education,source_id,0,0,0.506,0.003,0.509,False
AIED,2011,1,0,0,0,0,0,Artificial Intelligence in Education,S4306417720,resolved,Artificial Intelligence in Education,source_id,0,0,0.453,0.0,0.453,False
AIED,2013,4,0,0,0,0,0,Artificial Intelligence in Education,S4306417720,resolved,Artificial Intelligence in Education,source_id,0,0,0.456,0.0,0.456,False
AIED,2015,1,0,0,0,0,0,Artificial Intelligence in Education,S4306417720,resolved,Artificial Intelligence in Education,source_id,0,0,0.484,0.0,0.484,False
AISTATS,2001,46,0,0,0,0,0,Artificial Intelligence and Statistics,S5407045964,resolved,Applied Statistics and Artificial Intelligence,source_id,0,0,0.542,0.002,0.544,False
AISTATS,2003,44,0,0,0,0,0,Artificial Intelligence and Statistics,S5407045964,resolved,Applied Statistics and Artificial Intelligence,source_id,0,0,0.508,0.002,0.509,False
AISTATS,2005,57,0,0,0,0,0,Artificial Intelligence and Statistics,S5407045964,resolved,Applied Statistics and Artificial Intelligence,source_id,0,0,0.504,0.002,0.506,False
AISTATS,2013,71,0,0,0,0,0,Artificial Intelligence and Statistics,S5407045964,resolved,Applied Statistics and Artificial Intelligence,source_id,0,0,0.488,0.002,0.49,False
AISTATS,2014,122,0,0,0,0,0,Artificial Intelligence and Statistics,S5407045964,resolved,Applied Statistics and Artificial Intelligence,source_id,0,0,0.459,0.004,0.463,False
AISTATS,2015,127,0,0,0,0,0,Artificial Intelligence and Statistics,S5407045964,resolved,Applied Statistics and Artificial Intelligence,source_id,0,0,0.442,0.004,0.446,False
AISTATS,2016,164,0,0,0,0,0,Artificial Intelligence and Statistics,S5407045964,resolved,Applied Statistics and Artificial Intelligence,source_id,0,0,0.48,0.002,0.482,False
AISTATS,2017,167,0,0,0,0,0,Artificial Intelligence and Statistics,S5407045964,resolved,Applied Statistics and Artificial Intelligence,source_id,0,0,0.483,0.007,0.491,False
AISTATS,2018,216,0,0,0,0,0,Artificial Intelligence and Statistics,S5407045964,resolved,Applied Statistics and Artificial Intelligence,source_id,0,0,0.646,0.006,0.652,False
AISTATS,2019,360,0,0,0,0,0,Artificial Intelligence and Statistics,S5407045964,resolved,Applied Statistics and Artificial Intelligence,source_id,0,0,0.612,0.011,0.622,False
AISTATS,2020,423,0,0,0,0,0,Artificial Intelligence and Statistics,S5407045964,resolved,Applied Statistics and Artificial Intelligence,source_id,0,0,0.648,0.008,0.656,False
AISTATS,2021,455,0,0,0,0,0,Artificial Intelligence and Statistics,S5407045964,resolved,Applied Statistics and Artificial Intelligence,source_id,0,0,0.461,0.011,0.472,False
AISTATS,2022,492,0,0,0,0,0,Artificial Intelligence and Statistics,S5407045964,resolved,Applied Statistics and Artificial Intelligence,source_id,0,0,0.463,0.008,0.471,False
AISTATS,2023,496,0,0,0,0,0,Artificial Intelligence and Statistics,S5407045964,resolved,Applied Statistics and Artificial Intelligence,source_id,0,0,0.472,0.014,0.486,False
AISTATS,2024,547,0,0,4,4,1961,Artificial Intelligence and Statistics,S5407045964,resolved,Applied Statistics and Artificial Intelligence,source_id,1,21,0.635,0.02,0.654,False
AISTATS,2025,583,0,0,0,0,0,Artificial Intelligence and Statistics,S5407045964,resolved,Applied Statistics and Artificial Intelligence,source_id,1,15,0.611,0.015,0.626,False
ALENEX,2001,1,0,0,0,0,0,Algorithm Engineering and Experiments,S4393918244,resolved,Proceedings of the ... Workshop on Algorithm Engineering and Experiments,source_id,0,0,0.485,0.0,0.486,False
ALENEX,2002,1,0,0,0,0,0,Algorithm Engineering and Experiments,S4393918244,resolved,Proceedings of the ... Workshop on Algorithm Engineering and Experiments,source_id,0,0,0.599,0.0,0.599,False
ALENEX,2003,14,0,0,0,0,0,Algorithm Engineering and Experiments,S4393918244,resolved,Proceedings of the ... Workshop on Algorithm Engineering and Experiments,source_id,0,0,0.521,0.001,0.522,False
ALENEX,2006,3,0,0,0,0,0,Algorithm Engineering and Experiments,S4393918244,resolved,Proceedings of the ... Workshop on Algorithm Engineering and Experiments,source_id,0,0,0.457,0.0,0.458,False
ALENEX,2007,1,0,0,0,0,0,Algorithm Engineering and Experiments,S4393918244,resolved,Proceedings of the ... Workshop on Algorithm Engineering and Experiments,source_id,0,0,0.447,0.0,0.447,False
ALENEX,2008,1,0,0,0,0,0,Algorithm Engineering and Experiments,S4393918244,resolved,Proceedings of the ... Workshop on Algorithm Engineering and Experiments,source_id,0,0,0.448,0.0,0.448,False
ALENEX,2009,1,0,0,0,0,0,Algorithm Engineering and Experiments,S4393918244,resolved,Proceedings of the ... Workshop on Algorithm Engineering and Experiments,source_id,0,0,0.455,0.0,0.455,False
ALENEX,2010,1,0,0,0,0,0,Algorithm Engineering and Experiments,S4393918244,resolved,Proceedings of the ... Workshop on Algorithm Engineering and Experiments,source_id,0,0,0.459,0.0,0.459,False
ALENEX,2011,1,0,0,0,0,0,Algorithm Engineering and Experiments,S4393918244,resolved,Proceedings of the ... Workshop on Algorithm Engineering and Experiments,source_id,0,0,0.466,0.0,0.466,False
ALENEX,2012,1,0,0,0,0,0,Algorithm Engineering and Experiments,S4393918244,resolved,Proceedings of the ... Workshop on Algorithm Engineering and Experiments,source_id,0,0,0.532,0.0,0.532,False
ALENEX,2013,6,0,0,0,0,0,Algorithm Engineering and Experiments,S4393918244,resolved,Proceedings of the ... Workshop on Algorithm Engineering and Experiments,source_id,0,0,1.625,0.0,1.625,False
ALENEX,2014,4,0,0,0,0,0,Algorithm Engineering and Experiments,S4393918244,resolved,Proceedings of the ... Workshop on Algorithm Engineering and Experiments,source_id,0,0,0.538,0.0,0.538,False
ALENEX,2015,2,0,0,0,0,0,Algorithm Engineering and Experiments,S4393918244,resolved,Proceedings of the ... Workshop on Algorithm Engineering and Experiments,source_id,0,0,0.519,0.0,0.519,False
ALENEX,2016,4,0,0,0,0,0,Algorithm Engineering and Experiments,S4393918244,resolved,Proceedings of the ... Workshop on Algorithm Engineering and Experiments,source_id,0,0,0.489,0.0,0.49,False
ALENEX,2017,8,0,0,0,0,0,Algorithm Engineering and Experiments,S4393918244,resolved,Proceedings of the ... Workshop on Algorithm Engineering and Experiments,source_id,0,0,0.488,0.0,0.489,False
ALENEX,2018,10,0,0,0,0,0,Algorithm Engineering and Experiments,S4393918244,resolved,Proceedings of the ... Workshop on Algorithm Engineering and Experiments,source_id,0,0,0.487,0.001,0.487,False
ALENEX,2019,6,0,0,0,0,0,Algorithm Engineering and Experiments,S4393918244,resolved,Proceedings of the ... Workshop on Algorithm Engineering and Experiments,source_id,0,0,0.581,0.0,0.581,False
ALENEX,2020,9,0,0,0,0,0,Algorithm Engineering and Experiments,S4393918244,resolved,Proceedings of the ... Workshop on Algorithm Engineering and Experiments,source_id,0,0,0.513,0.001,0.514,False
ALENEX,2021,6,0,0,0,0,0,Algorithm Engineering and Experiments,S4393918244,resolved,Proceedings of the ... Workshop on Algorithm Engineering and Experiments,source_id,0,0,0.472,0.0,0.472,False
ALENEX,2022,14,0,0,0,0,0,Algorithm Engineering and Experiments,S4393918244,resolved,Proceedings of the ... Workshop on Algorithm Engineering and Experiments,source_id,0,0,0.485,0.0,0.486,False
ALENEX,2023,4,0,0,0,0,0,Algorithm Engineering and Experiments,S4393918244,resolved,Proceedings of the ... Workshop on Algorithm Engineering and Experiments,source_id,0,0,0.534,0.0,0.534,False
