congress,level,area,total_papers,resolved_papers,unresolved_papers,coverage_pct
SIGSPATIAL,A,Bases de datos,2066,2032,34,98.35
ECIR,A,Bases de datos,1300,1279,21,98.38
CCS,A*,Seguridad,3754,3696,58,98.45
ICDM,A*,Bases de datos,3834,3776,58,98.49
MMSys,A,Redes,709,699,10,98.59
RTAS,A,Sistemas,432,426,6,98.61
IUI,A,HCI,1707,1685,22,98.71
POPL,A*,Ing. del Software,719,710,9,98.75
IMC,A,Redes,322,318,4,98.76
SIGMOD,A*,Bases de datos,3268,3230,38,98.84
ICFP,A,Ing. del Software,528,522,6,98.86
OOPSLA,A,Ing. del Software,665,658,7,98.95
WWW,A*,Bases de datos,5251,5196,55,98.95
SIGCOMM,A*,Redes,1388,1375,13,99.06
FSE,A*,Ing. del Software,546,541,5,99.08
ASSETS,A,HCI,1996,1979,17,99.15
LAK,A,IA / ML,1100,1091,9,99.18
SEAMS,A,Ing. del Software,124,123,1,99.19
PPSN,A,IA / ML,616,611,5,99.19
ESEM,A,Ing. del Software,1036,1028,8,99.23
Mobisys,A,Redes,1378,1368,10,99.27
IJCAR,A,Teoría,446,443,3,99.33
ICPC,A,Ing. del Software,895,889,6,99.33
ICS,A,Sistemas,1090,1083,7,99.36
ACMMM,A*,IA / ML,10640,10579,61,99.43
KDD,A*,Bases de datos,5964,5931,33,99.45
PODS,A*,Bases de datos,735,731,4,99.46
CSCW,A,HCI,1371,1364,7,99.49
DIS,A,HCI,2053,2043,10,99.51
STOC,A*,Teoría,2666,2653,13,99.51
UMAP,A,HCI,856,852,4,99.53
MSWIM,A,Redes,1124,1119,5,99.56
CIKM,A,Bases de datos,8847,8813,34,99.62
SIGIR,A*,Bases de datos,6294,6272,22,99.65
ISSTA,A,Ing. del Software,1068,1065,3,99.72
EC,A*,Teoría,1923,1918,5,99.74
SIGCSE,A,HCI,4680,4668,12,99.74
ASPLOS,A*,Sistemas,891,889,2,99.78
WSDM,A,Bases de datos,1962,1958,4,99.8
PLDI,A*,Ing. del Software,1066,1064,2,99.81
ICER,A,HCI,583,582,1,99.83
UIST,A*,HCI,1790,1787,3,99.83
CHI,A*,HCI,11478,11463,15,99.87
AsiaCCS,A,Seguridad,541,541,0,100.0
