congress,level,area,booktitle,n_articles,first_year,last_year,n_years,secondary_tokens,flag_secondary_candidate
MODELS,A,Ing. del Software,MODELS,83,2023,2025,3,,False
MSR,A,Ing. del Software,MSR,1303,2004,2025,22,,False
MSWIM,A,Redes,MSWiM,1124,2001,2025,24,,False
Middleware,A,Sistemas,Middleware,595,2001,2025,24,,False
Mobisys,A,Redes,MobiSys,1378,2003,2025,23,,False
NAACL,A,IA / ML,NAACL-HLT,1612,2018,2024,4,,False
NAACL,A,IA / ML,NAACL,31,2001,2001,1,,False
NDSS,A*,Seguridad,NDSS,1426,2001,2025,25,,False
NeurIPS,A*,IA / ML,NeurIPS,17537,2018,2024,7,,False
NeurIPS,A*,IA / ML,NIPS,5339,2001,2017,17,,False
OOPSLA,A,Ing. del Software,OOPSLA,665,2001,2016,16,,False
OSDI,A*,Sistemas,OSDI,611,2002,2025,15,,False
PERCOM,A*,HCI,PerCom,859,2003,2025,22,,False
PERCOM,A*,HCI,PERCOM,31,2023,2023,1,,False
PETS,A,Seguridad,Proc. Priv. Enhancing Technol.,996,2015,2025,11,,False
PETS,A,Seguridad,PETS,15,2011,2011,1,,False
PLDI,A*,Ing. del Software,PLDI,1066,2001,2022,22,,False
PODC,A*,Sistemas,PODC,1596,2001,2025,25,,False
PODS,A*,Bases de datos,PODS,735,2001,2023,23,,False
POPL,A*,Ing. del Software,POPL,719,2001,2017,17,,False
PPSN,A,IA / ML,PPSN,616,2002,2016,6,,False
RAID,A,Seguridad,RAID,690,2002,2025,24,,False
RE,A,Ing. del Software,RE,1548,2001,2025,25,,False
RTAS,A,Sistemas,RTAS,432,2014,2025,12,,False
RTSS,A,Sistemas,RTSS,1074,2001,2025,25,,False
RecSys,A,IA / ML,RecSys,2169,2007,2025,19,,False
SANER,A,Ing. del Software,SANER,915,2015,2024,10,,False
SANER,A,Ing. del Software,WCRE,578,2001,2013,13,,False
SAT,A,Teoría,SAT,824,2003,2025,23,,False
SC,A,Sistemas,SC,2346,2001,2025,25,,False
SDM,A,IA / ML,SDM,2055,2001,2025,25,,False
SEAMS,A,Ing. del Software,SEAMS@ICSE,81,2021,2025,3,,False
SEAMS,A,Ing. del Software,SEAMS,43,2022,2023,2,,False
SIGCOMM,A*,Redes,SIGCOMM,1388,2001,2025,25,,False
SIGCSE,A,HCI,SIGCSE,4680,2001,2021,21,,False
SIGGRAPH,A*,HCI,SIGGRAPH Talks,1140,2008,2024,16,,False
SIGGRAPH,A*,HCI,SIGGRAPH Computer Animation Festival,1108,2004,2021,13,,False
SIGGRAPH,A*,HCI,SIGGRAPH Courses,905,2005,2025,20,,False
SIGGRAPH,A*,HCI,SIGGRAPH Art Gallery,706,2004,2024,16,,False
SIGGRAPH,A*,HCI,SIGGRAPH Sketches,579,2004,2007,4,,False
SIGGRAPH,A*,HCI,SIGGRAPH Emerging Technologies,504,2004,2025,21,,False
SIGGRAPH,A*,HCI,SIGGRAPH (Conference Paper Track),455,2022,2025,4,,False
SIGGRAPH,A*,HCI,SIGGRAPH Electronic Art and Animation Catalog,320,2002,2005,2,,False
SIGGRAPH,A*,HCI,SIGGRAPH Abstracts and Applications,257,2002,2002,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH ASIA Computer Animation Festival,224,2013,2016,3,,False
SIGGRAPH,A*,HCI,SIGGRAPH,207,2001,2003,2,,False
SIGGRAPH,A*,HCI,SIGGRAPH Educators Program,202,2003,2007,5,,False
SIGGRAPH,A*,HCI,SIGGRAPH Computer Animation Fesitval,144,2009,2009,1,,False
SIGGRAPH,A*,HCI,Sandbox@SIGGRAPH,111,2006,2011,6,,False
SIGGRAPH,A*,HCI,SIGGRAPH Studio,104,2014,2019,5,,False
SIGGRAPH,A*,HCI,SIGGRAPH Classes,97,2008,2008,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH ASIA Mobile Graphics and Interactive Applications,85,2013,2016,3,,False
SIGGRAPH,A*,HCI,SIGGRAPH ASIA Art Gallery,77,2011,2016,4,,False
SIGGRAPH,A*,HCI,SIGGRAPH ASIA Courses,76,2009,2016,4,,False
SIGGRAPH,A*,HCI,SIGGRAPH Educator's Forum,76,2017,2024,6,,False
SIGGRAPH,A*,HCI,SIGGRAPH Immersive Pavilion,74,2020,2024,4,,False
SIGGRAPH,A*,HCI,SIGGRAPH Video Review on Animation Theater Program,74,2001,2001,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH Video Review on Electronic Theater Program,69,2001,2003,2,,False
SIGGRAPH,A*,HCI,SIGGRAPH ASIA Art Gallery & Emerging Technologies,67,2009,2009,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH Dailies,67,2010,2012,3,,False
SIGGRAPH,A*,HCI,SIGGRAPH ASIA Animations,65,2009,2009,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH Web Graphics,65,2003,2004,2,,False
SIGGRAPH,A*,HCI,SIGGRAPH Panels,58,2004,2023,10,,False
SIGGRAPH,A*,HCI,SIGGRAPH ASIA Technical Briefs,51,2013,2014,2,,False
SIGGRAPH,A*,HCI,SIGGRAPH Asia Technical Briefs,51,2015,2016,2,,False
SIGGRAPH,A*,HCI,SIGGRAPH Production Sessions,49,2016,2023,5,,False
SIGGRAPH,A*,HCI,SIGGRAPH ASIA Emerging Technologies,46,2013,2016,3,,False
SIGGRAPH,A*,HCI,SIGGRAPH Teapot,43,2006,2006,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH VR Theater,43,2021,2024,3,,False
SIGGRAPH,A*,HCI,SIGGRAPH VR Village,37,2016,2017,2,,False
SIGGRAPH,A*,HCI,SIGGRAPH Asia Mobile Graphics and Interactive Applications,35,2015,2015,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH Asia Symposium on Visualization,35,2016,2017,2,,False
SIGGRAPH,A*,HCI,SIGGRAPH Course Notes,34,2004,2004,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH Studio Talks,34,2011,2013,2,,False
SIGGRAPH,A*,HCI,SIGGRAPH Labs,30,2020,2024,3,,False
SIGGRAPH,A*,HCI,SIGGRAPH Asia Emerging Technologies,29,2015,2015,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH Mobile,28,2012,2013,2,,False
SIGGRAPH,A*,HCI,SIGGRAPH ASIA Educators Program,24,2009,2009,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH Appy Hour,23,2016,2024,3,,False
SIGGRAPH,A*,HCI,SIGGRAPH Electronic Theater,22,2023,2023,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH Real Time Live!,22,2017,2023,2,,False
SIGGRAPH,A*,HCI,SIGGRAPH Video Review on Animation Theater Program (2),22,2003,2003,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH Asia Visualization in High Performance Computing,20,2015,2015,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH Real-Time Live!,20,2011,2016,2,,False
SIGGRAPH,A*,HCI,SIGGRAPH Special Sessions,20,2004,2007,4,,False
SIGGRAPH,A*,HCI,SIGGRAPH Video Review on Animation Theater Program (1),20,2003,2003,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH Web Program,19,2005,2005,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH Asia Haptic Media And Contents Design,18,2015,2015,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH Asia Courses,17,2015,2015,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH Asia Symposium on Education,16,2015,2015,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH Awards,16,2009,2012,4,,False
SIGGRAPH,A*,HCI,SIGGRAPH ASIA VR Showcase,14,2016,2016,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH ASIA Virtual Reality meets Physical Reality,14,2016,2016,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH Happy Hour,14,2021,2023,2,,False
SIGGRAPH,A*,HCI,SIGGRAPH Asia Head-Up Displays and their Applications,11,2015,2015,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH ASIA Symposium on Education,9,2016,2016,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH Award Recipients,9,2006,2008,3,,False
SIGGRAPH,A*,HCI,SIGGRAPH Asia Art Papers,8,2015,2015,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH Game Papers,8,2011,2011,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH ASIA Autonomous Virtual Humans and Social Robot for Telepresence,7,2014,2014,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH ASIA Designing Tools For Crafting Interactive Artifacts,7,2014,2014,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH ASIA Symposium on Education: Talks,7,2016,2016,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH Art Papers,6,2015,2015,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH Music & Audio,6,2009,2009,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH Speakers,6,2017,2017,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH Games,5,2008,2008,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH ASIA Crafting Spirituality,4,2016,2016,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH ASIA Indoor Scene Understanding Where Graphics Meets Vision,4,2014,2014,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH Asia R&D in the Video Game Industry,4,2015,2015,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH ASIA Creating Virtual Environments,3,2016,2016,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH ASIA Creative Shape Modeling and Design,3,2014,2014,1,,False
SIGGRAPH,A*,HCI,SIGGRAPH Award,3,2005,2005,1,,False
SIGIR,A*,Bases de datos,SIGIR,6294,2001,2025,25,,False
SIGMETRICS,A*,Sistemas,SIGMETRICS,700,2002,2016,13,,False
SIGMOD,A*,Bases de datos,SIGMOD Conference,3268,2001,2022,22,,False
SIGSPATIAL,A,Bases de datos,SIGSPATIAL/GIS,1534,2012,2025,14,,False
SIGSPATIAL,A,Bases de datos,GIS,532,2003,2011,9,,False
SODA,A*,Teoría,SODA,3794,2001,2025,25,,False
SOSP,A*,Sistemas,SOSP,531,2001,2025,14,,False
SOUPS,A,Seguridad,SOUPS,353,2005,2025,15,,False
SP,A*,Seguridad,IEEE Symposium on Security and Privacy,507,2010,2019,10,,False
SP,A*,Seguridad,S&P,162,2001,2007,7,,False
STACS,A,Teoría,STACS,1477,2001,2025,25,,False
STOC,A*,Teoría,STOC,2666,2001,2025,25,,False
SiggraphA,A*,HCI,SIGGRAPH Asia,538,2019,2025,5,,False
SiggraphA,A*,HCI,SIGGRAPH Asia Computer Animation Festival,239,2011,2024,5,,False
SiggraphA,A*,HCI,SIGGRAPH Asia Technical Communications,171,2020,2025,6,,False
SiggraphA,A*,HCI,SIGGRAPH Asia XR,131,2019,2024,6,,False
SiggraphA,A*,HCI,SIGGRAPH Asia Technical Briefs,128,2012,2019,4,,False
SiggraphA,A*,HCI,SIGGRAPH ASIA Emerging Technologies,109,2017,2022,6,,False
SiggraphA,A*,HCI,SIGGRAPH Asia Emerging Technologies,109,2011,2025,5,,False
SiggraphA,A*,HCI,SIGGRAPH ASIA (Computer Animation Festival),86,2010,2010,1,,False
SiggraphA,A*,HCI,SIGGRAPH ASIA Computer Animation Festival,66,2008,2008,1,,False
SiggraphA,A*,HCI,SIGGRAPH Asia Art Gallery,66,2022,2024,3,,False
SiggraphA,A*,HCI,SIGGRAPH ASIA (Sketches),55,2010,2010,1,,False
SiggraphA,A*,HCI,SIGGRAPH ASIA Sketches,45,2009,2009,1,,False
SiggraphA,A*,HCI,SIGGRAPH Asia Sketches,44,2011,2011,1,,False
SiggraphA,A*,HCI,SIGGRAPH ASIA (Courses),43,2010,2017,2,,False
SiggraphA,A*,HCI,SIGGRAPH Asia Art Papers,41,2023,2024,2,,False
SiggraphA,A*,HCI,SIGGRAPH ASIA Art Gallery & Emerging Technologies,38,2008,2008,1,,False
SiggraphA,A*,HCI,SIGGRAPH ASIA Courses,33,2008,2023,2,,False
SiggraphA,A*,HCI,SIGGRAPH ASIA Educator's Forum,29,2023,2024,2,,False
SiggraphA,A*,HCI,SIGGRAPH ASIA Mobile Graphics and Interactive Applications,28,2017,2017,1,,False
SiggraphA,A*,HCI,SIGGRAPH Asia Courses,28,2011,2012,2,,False
SiggraphA,A*,HCI,SIGGRAPH ASIA Educators Programme,21,2008,2008,1,,False
SiggraphA,A*,HCI,SIGGRAPH Asia Symposium on Apps,10,2012,2012,1,,False
SiggraphA,A*,HCI,SIGGRAPH ASIA (Art + Tech Showcase),2,2010,2010,1,,False
SoCG,A*,Teoría,SoCG,951,2013,2025,13,,False
TACAS,A,Ing. del Software,TACAS,728,2001,2016,16,,False
UAI,A,IA / ML,UAI,2849,2001,2025,25,,False
UIST,A*,HCI,UIST,1790,2001,2025,25,,False
UMAP,A,HCI,UMAP,856,2009,2025,17,,False
USENIX,A,Sistemas,USENIX ATC,1057,2007,2025,19,,False
USENIX-Security,A*,Seguridad,USENIX Security Symposium,2819,2001,2025,25,,False
VLDB,A*,Bases de datos,Proc. VLDB Endow.,4858,2008,2025,18,,False
VLDB,A*,Bases de datos,VLDB,934,2001,2007,7,,False
VR,A*,HCI,VR,2716,2001,2025,25,,False
WACV,A,IA / ML,WACV,5170,2002,2025,19,,False
WSDM,A,Bases de datos,WSDM,1962,2008,2025,18,,False
WWW,A*,Bases de datos,WWW,5251,2001,2025,25,,False
