congress,level,area,booktitle,n_articles,first_year,last_year,n_years,secondary_tokens,flag_secondary_candidate
ECCV,A*,IA / ML,ECCV (49),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (50),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (51),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (52),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (53),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (54),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (55),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (56),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (57),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (58),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (59),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (60),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (61),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (62),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (63),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (64),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (65),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (66),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (67),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (68),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (70),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (72),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (73),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (74),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (75),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (76),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (77),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (78),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (79),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (80),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (82),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (83),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (84),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (85),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (87),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (88),27,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (46),26,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (69),26,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (71),26,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (81),26,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (86),26,2024,2024,1,,False
ECCV,A*,IA / ML,ECCV (89),20,2024,2024,1,,False
ECIR,A,Bases de datos,ECIR,1300,2002,2018,17,,False
ECML PKDD,A,IA / ML,PKDD,402,2001,2007,7,,False
ECML PKDD,A,IA / ML,ECML/PKDD,4,2007,2007,1,,False
ECOOP,A,Ing. del Software,ECOOP,756,2001,2025,25,,False
EMNLP,A*,IA / ML,EMNLP,7602,2001,2025,19,,False
EMNLP,A*,IA / ML,EMNLP (1),1600,2020,2021,2,,False
ER,A,Bases de datos,ER,1039,2001,2025,25,,False
ESA,A,Teoría,ESA,1876,2001,2025,24,,False
ESEM,A,Ing. del Software,ESEM,1036,2007,2025,19,,False
ESOP,A,Ing. del Software,ESOP,651,2001,2023,23,,False
ESORICS,A,Seguridad,ESORICS,412,2002,2013,12,,False
EuroCrypt,A*,Seguridad,EUROCRYPT,498,2001,2014,14,,False
EuroS&P,A,Seguridad,EuroS&P,441,2016,2025,10,,False
EuroSys,A,Sistemas,EuroSys,775,2006,2025,20,,False
FAST,A,Sistemas,FAST,565,2002,2025,23,,False
FC,A,Seguridad,Financial Cryptography,658,2001,2022,21,,False
FC,A,Seguridad,FC,43,2023,2025,2,,False
FC,A,Seguridad,Financial Cryptography (2),30,2021,2021,1,,False
FC,A,Seguridad,Financial Cryptography (1),24,2021,2021,1,,False
FOCS,A*,Teoría,FOCS,2242,2001,2025,25,,False
FOGA,A,IA / ML,FOGA,205,2002,2025,12,,False
FPGA,A,Sistemas,FPGA,1420,2001,2025,25,,False
FSE,A*,Ing. del Software,SIGSOFT FSE,546,2002,2016,9,,False
GD,A,Teoría,GD,1137,2001,2025,24,,False
GECCO,A,IA / ML,GECCO,5144,2002,2025,23,,False
HPCA,A*,Sistemas,HPCA,1317,2001,2025,25,,False
HPDC,A,Sistemas,HPDC,971,2001,2025,25,,False
HRI,A*,HCI,HRI,2346,2006,2025,20,,False
HotOS,A,Sistemas,HotOS,394,2001,2025,13,,False
ICALP,A*,Teoría,ICALP,2067,2001,2025,16,,False
ICAPS,A*,IA / ML,ICAPS,1258,2003,2023,21,,False
ICCAD,A,Sistemas,ICCAD,3711,2001,2025,25,,False
ICCV,A*,IA / ML,ICCV,8144,2001,2023,12,,False
ICDAR,A,IA / ML,ICDAR,2571,2001,2019,10,,False
ICDCS,A,Sistemas,ICDCS,2847,2001,2025,25,,False
ICDE,A*,Bases de datos,ICDE,5424,2001,2025,25,,False
ICDM,A*,Bases de datos,ICDM,3834,2001,2025,25,,False
ICDT,A,Bases de datos,ICDT,538,2001,2025,21,,False
ICER,A,HCI,ICER,583,2005,2021,17,,False
ICFP,A,Ing. del Software,ICFP,528,2001,2016,16,,False
ICLR,A*,IA / ML,ICLR,10241,2017,2025,9,,False
ICME,A,IA / ML,ICME,9384,2001,2025,24,,False
ICML,A*,IA / ML,ICML,15644,2001,2025,24,,False
ICPC,A,Ing. del Software,ICPC,895,2006,2025,20,,False
ICRA,A*,IA / ML,ICRA,23565,2001,2025,25,,False
ICS,A,Sistemas,ICS,1090,2001,2025,25,,False
ICSA,A,Ing. del Software,ICSA,193,2017,2025,9,,False
