"Step","Status","ExitCode","Optional","Elapsed"
"00","OK","0","False","00:00:07.6847392"
"01","OK","0","False","00:00:08.8735539"
"02","OK","0","True","00:00:15.3674791"
"03","OK","0","False","00:03:19.6442238"
"04","OK","0","True","00:27:31.3131222"
"05","OK","0","True","00:00:10.9690206"
"06","OK","0","False","00:00:06.2513121"
"07","OK","0","False","00:00:43.2690673"
"08","OK","0","True","00:00:06.7988033"
"09","OK","0","True","00:00:00.5848752"
"10","OK","0","False","00:00:08.8442852"
"11","OK","0","False","00:00:08.7791279"
"13","OK","0","False","00:00:07.6253336"
"14","OK","0","True","00:00:08.3460601"
"15","OK","0","False","00:00:18.3762664"
"16","OK","0","False","00:00:08.6478931"
"17","OK","0","True","00:00:08.1243258"
"19","OK","0","True","00:00:09.5594580"
"20","OK","0","True","00:00:03.6568021"
"21","OK","0","True","00:00:00.8655206"
"22","OK","0","True","00:00:00.8216760"
"12","OK","0","True","00:00:01.6722763"
