venue,tier,tier_reason,tier_action,priority_level,priority_score,inferred_area,ever_astar,years_present,active_article_years_required,manual_include,manual_area,manual_dblp_key_or_booktitle,manual_notes
AOSD,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,18.4,Ingeniería del Software / Servicios,False,5,12,,,,
ASAP,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,18.4,Sistemas / HPC / Arquitectura,False,5,12,,,,
COCOON,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,18.4,Teoría / Métodos formales / PL,False,5,12,,,,
ECSA,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,18.4,Ingeniería del Software / Servicios,False,6,12,,,,
EUROGRAPH,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,18.4,Visión / Imagen / Gráficos,False,5,12,,,,
FLOPS,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,18.4,Teoría / Métodos formales / PL,False,5,12,,,,
FOSSACS,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,18.4,Teoría / Métodos formales / PL,False,6,12,,,,
HOTNETS,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,18.4,Sistemas / HPC / Arquitectura,False,5,12,,,,
I3DG,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,18.2,Visión / Imagen / Gráficos,True,2,6,,,,
Coordination,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,17.0,Ingeniería del Software / Servicios,False,4,10,,,,
DBSEC,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,17.0,Bases de datos / Web / Conocimiento,False,4,10,,,,
FORTE,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,17.0,Ingeniería del Software / Servicios,False,4,10,,,,
FCT,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,16.6,Teoría / Métodos formales / PL,False,5,8,,,,
FOIS,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,16.6,Bases de datos / Web / Conocimiento,False,5,8,,,,
MOBIHOC,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,HIGH,16.6,Sin clasificar,False,8,18,,,,
ECML,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,MEDIUM,14.8,Machine Learning / Data Mining,False,3,9,,,,
HiPC,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,MEDIUM,14.8,Sistemas / HPC / Arquitectura,False,3,9,,,,
CSCL,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,HIGH,22.6,Educación / Learning technologies,True,6,13,,,,
IEEE InfoVis,TIER2,área adyacente pero A* histórico persistente,Revisión manual antes de decidir extracción,HIGH,22.6,Sin clasificar,True,6,13,,,,
ICIS,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,HIGH,22.4,Sistemas de información,True,5,12,,,,
JCDL,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,HIGH,20.4,Sin clasificar,True,5,12,,,,
