venue,tier,tier_reason,tier_action,priority_level,priority_score,inferred_area,ever_astar,years_present,active_article_years_required,manual_include,manual_area,manual_dblp_key_or_booktitle,manual_notes
TrustCom,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,11.6,Sin clasificar,False,5,8,,,,
VEE,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,11.6,Sin clasificar,False,5,8,,,,
ISS,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,10.4,Sin clasificar,False,4,7,,,,
CEC,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,10.2,Control / Señal / Ingeniería,False,2,6,,,,
IWQoS,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,MEDIUM,10.0,Sin clasificar,True,1,5,,,,
DSAA,TIER3,baja prioridad previa,Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,9.4,Machine Learning / Data Mining,False,1,2,,,,
OCIS,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,9.4,Sin clasificar,False,4,7,,,,
PACIS,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,9.4,Sin clasificar,False,4,7,,,,
ALT,TIER3,baja prioridad previa,Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,9.2,Machine Learning / Data Mining,False,1,1,,,,
Ada-Europe,TIER3,venue en lista curada de baja prioridad o fuera de alcance,Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,8.8,Sin clasificar,False,3,9,,,,
APCOMin,TIER3,venue en lista curada de baja prioridad o fuera de alcance,Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,8.4,Sin clasificar,False,4,7,,,,
QoSA,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,8.2,Sin clasificar,False,2,6,,,,
TIME,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,8.2,Sin clasificar,False,2,6,,,,
VL/HCC,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,8.2,Sin clasificar,False,2,6,,,,
WADS,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,8.2,Sin clasificar,False,2,6,,,,
DIGRA,TIER3,venue en lista curada de baja prioridad o fuera de alcance,Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,8.0,Sin clasificar,False,1,5,,,,
DUX,TIER3,venue en lista curada de baja prioridad o fuera de alcance,Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,8.0,Sin clasificar,False,1,5,,,,
AVSS,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
CSFW,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
DAS,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
ECWeb,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
EMMSAD,TIER3,venue en lista curada de baja prioridad o fuera de alcance,Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
EuroCOLT,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
EuroSPI,TIER3,venue en lista curada de baja prioridad o fuera de alcance,Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
FPSAC,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
ICC,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
ICMAS,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
ICMR,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
ICNN,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
ICPR,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
IJCNLP,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
ISESE,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
ISTA,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
ISTCS,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
IVCNZ,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
MASS,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
MMSP,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
MobileHCI,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
NSDI,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
P2P,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
PADL,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
PADS,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
PDC,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
PEPM,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
PRO-VE,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
QRS,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
RECOMB,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
RoboCup,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
SARA,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
SCA,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
SWAT,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
TREC,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
VCIP,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
VMCAI,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,6.0,Sin clasificar,False,1,5,,,,
SecureComm,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,5.8,Sin clasificar,False,2,4,,,,
BuildSys,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,5.4,Sin clasificar,False,1,2,,,,
PacificVis,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,4.6,Sin clasificar,False,1,3,,,,
AFIPS,TIER3,venue en lista curada de baja prioridad o fuera de alcance,Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,4.4,Sin clasificar,False,1,2,,,,
VISIGRAPP,TIER3,"área adyacente, interdisciplinar o sin clasificar",Excluir del corpus principal salvo apéndice o cambio de alcance,LOW,4.2,Sin clasificar,False,1,1,,,,
