venue,first_core_year,last_core_year,years_list,levels_list,in_current_2026_corpus
IEEE InfoVis,2008,2020,2008|2013|2014|2017|2018|2020,A*,False
IEEE SSE,2008,2020,2008|2013|2014|2017|2018|2020,A,False
IEEETKDE,2008,2018,2008|2013|2014|2017|2018,A,False
IJCNLP,2008,2008,2008,A,False
IJCNN,2008,2020,2008|2013|2014|2017|2018|2020,A,False
ILPS,2008,2018,2008|2013|2014|2017|2018,A,False
IM,2008,2018,2008|2013|2014|2017|2018,A,False
IPCO,2008,2023,2008|2013|2014|2017|2018|2020|2021|2023,A,False
IPSN,2008,2023,2008|2013|2014|2017|2018|2020|2021|2023,A*,False
ISAAC,2008,2023,2008|2013|2014|2017|2018|2020|2021|2023,A,False
ISD,2008,2018,2008|2013|2014|2017|2018,A,False
ISESE,2008,2008,2008,A,False
ISMM,2013,2020,2013|2014|2017|2018|2020,A,False
ISR,2008,2018,2008|2013|2014|2017|2018,A,False
ISRR,2008,2021,2008|2013|2014|2017|2018|2020|2021,A,False
ISS,2014,2020,2014|2017|2018|2020,A,False
ISSAC,2008,2023,2008|2013|2014|2017|2018|2020|2021|2023,A|A*,False
ISSCC,2008,2018,2008|2013|2014|2017|2018,A,False
ISTA,2008,2008,2008,A,False
ISTCS,2008,2008,2008,A,False
ITP,2013,2023,2013|2014|2017|2018|2020|2021|2023,A,False
ITS,2008,2020,2008|2013|2014|2017|2018|2020,A,False
ITiCSE,2008,2021,2008|2013|2014|2017|2018|2020|2021,A,False
IVCNZ,2008,2008,2008,A,False
IWQoS,2008,2008,2008,A*,False
Interact,2008,2020,2008|2013|2014|2017|2018|2020,A,False
JCDL,2008,2018,2008|2013|2014|2017|2018,A*,False
JELIA,2008,2023,2008|2013|2014|2017|2018|2020|2021|2023,A,False
K-CAP,2008,2020,2008|2013|2014|2017|2018|2020,A,False
LCN,2008,2020,2008|2013|2014|2017|2018|2020,A,False
LCTES,2008,2020,2008|2013|2014|2017|2018|2020,A,False
LPAR,2008,2021,2008|2013|2014|2017|2018|2020|2021,A,False
LPNMR,2008,2020,2008|2013|2014|2017|2018|2020,A,False
MASCOTS,2008,2020,2008|2013|2014|2017|2018|2020,A,False
MASS,2008,2008,2008,A,False
MATES ENASE,2008,2018,2008|2013|2014|2017|2018,A,False
MFCS,2013,2023,2013|2014|2017|2018|2020|2021|2023,A,False
MMCN,2008,2018,2008|2013|2014|2017|2018,A,False
MMSP,2008,2008,2008,A,False
MOBIHOC,2008,2023,2008|2013|2014|2017|2018|2020|2021|2023,A,False
MassPar,2008,2018,2008|2013|2014|2017|2018,A,False
MobileHCI,2008,2008,2008,A,False
Mobiquitous,2008,2020,2008|2013|2014|2017|2018|2020,A,False
NCA,2013,2020,2013|2014|2017|2018|2020,A,False
NOSSDAV,2008,2020,2008|2013|2014|2017|2018|2020,A,False
NSDI,2008,2008,2008,A,False
NetStore,2008,2018,2008|2013|2014|2017|2018,A,False
Networking,2008,2020,2008|2013|2014|2017|2018|2020,A,False
