from,to,share_t0,share_t1,delta,composition_effect,performance_effect,interaction
2006-2010,2021-2025,0.07619738751814224,0.042306220502572385,-0.03389116701556986,-0.002314006944594063,-0.02617262273963726,-0.005404537331338534
2011-2015,2021-2025,0.0730410162228344,0.042306220502572385,-0.03073479572026202,-0.0029417304635889624,-0.025129077334828748,-0.002663987921844309
