venue,first_core_year,last_core_year,years_list,levels_list,in_current_2026_corpus,min_year,max_year,n_papers
HotOS,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2025,394
ICALP,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A|A*,True,2001,2025,2067
ICAPS,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2003,2023,1258
ICCAD,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2025,3711
ICCV,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2023,8144
ICDAR,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2019,2571
ICDCS,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2025,2847
ICDE,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2025,5424
ICDM,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2025,3834
ICDT,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2025,538
ICER,2008,2026,2008|2023|2026,A,True,2005,2021,583
ICFP,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A|A*,True,2001,2016,528
ICLR,2021,2026,2021|2023|2026,A*,True,2017,2025,10241
ICME,2021,2026,2021|2023|2026,A,True,2001,2025,9384
ICML,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2025,15644
ICPC,2021,2026,2021|2023|2026,A,True,2006,2025,895
ICRA,2023,2026,2023|2026,A*,True,2001,2025,23565
ICS,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2025,1090
ICSA,2008,2026,2008|2013|2014|2017|2021|2023|2026,A,True,2017,2025,193
ICSE,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2025,3481
ICSME,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2025,2108
ICSOC,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2003,2022,1038
ICST,2018,2026,2018|2020|2021|2023|2026,A,True,2008,2025,1096
ICWS,2013,2026,2013|2014|2017|2018|2020|2021|2023|2026,A,True,2003,2025,2542
ICWSM,2023,2026,2023|2026,A,True,2007,2025,1952
IEEE VIS,2013,2026,2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2005,477
IJCAI,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2025,12126
IJCAR,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A|A*,True,2001,2022,446
IMC,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2022,2025,322
INFOCOM,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2025,7502
IPDPS,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2025,5528
IROS,2013,2026,2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2025,23281
ISCA,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2025,1404
ISLPED,2026,2026,2026,A,True,2001,2025,1705
ISMAR,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2002,2025,1678
ISMB,2008,2026,2008|2013|2014|2017|2018|2020|2026,A,True,2002,2008,93
ISSRE,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2025,1033
ISSTA,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2002,2024,1068
ISWC,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A|A*,True,2002,2023,601
ITC,2026,2026,2026,A,True,2001,2025,2450
ITCS,2018,2026,2018|2020|2021|2023|2026,A,True,2012,2025,1010
IUI,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2025,1707
Interspeech,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2025,21223
KDD,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2024,5964
KR,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2002,2025,1147
LAK,2021,2026,2021|2023|2026,A,True,2011,2025,1100
LICS,2008,2026,2008|2013|2014|2017|2018|2020|2021|2023|2026,A*,True,2001,2025,1459
MICCAI,2013,2026,2013|2014|2017|2018|2020|2021|2023|2026,A,True,2001,2025,14260
