venue,first_core_year,last_core_year,years_present,years_list,levels_list,astar_years,a_years,ever_astar,active_article_years_required,first_article_year_required,last_article_year_required,required_core_years,required_levels,inferred_area,relevance_class,priority_score,priority_level,recommended_action,rationale,priority_sort,tier,tier_reason,tier_action,tier_sort
HiPC,2008,2014,3,2008|2013|2014,A,0,3,False,9,2008,2016,2008|2013|2014,A,Sistemas / HPC / Arquitectura,high_seed,14.8,MEDIUM,Revisión manual antes de extraer DBLP,solo A histórico; 3 versiones CORE; 9 años-artículo requeridos; relevancia=high_seed; área=Sistemas / HPC / Arquitectura,1,TIER1,venue central de informática en lista curada Tier 1,Incluir en extracción DBLP prioritaria,0
CSCL,2008,2020,6,2008|2013|2014|2017|2018|2020,A|A*,2,4,True,13,2008,2020,2008|2013|2014|2017|2018|2020,A|A*,Educación / Learning technologies,medium_seed,22.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,A* histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=medium_seed; área=Educación / Learning technologies,0,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
IEEE InfoVis,2008,2020,6,2008|2013|2014|2017|2018|2020,A*,6,0,True,13,2008,2020,2008|2013|2014|2017|2018|2020,A*,Sin clasificar,unknown,22.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,A* histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,área adyacente pero A* histórico persistente,Revisión manual antes de decidir extracción,1
ICIS,2008,2018,5,2008|2013|2014|2017|2018,A*,5,0,True,12,2008,2019,2008|2013|2014|2017|2018,A*,Sistemas de información,medium_seed,22.4,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,A* histórico; 5 versiones CORE; 12 años-artículo requeridos; relevancia=medium_seed; área=Sistemas de información,0,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
JCDL,2008,2018,5,2008|2013|2014|2017|2018,A*,5,0,True,12,2008,2019,2008|2013|2014|2017|2018,A*,Sin clasificar,unknown,20.4,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,A* histórico; 5 versiones CORE; 12 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
Hypertext,2008,2018,5,2008|2013|2014|2017|2018,A,0,5,False,12,2008,2019,2008|2013|2014|2017|2018,A,HCI / CSCW / Documentos,high_seed,18.4,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 5 versiones CORE; 12 años-artículo requeridos; relevancia=high_seed; área=HCI / CSCW / Documentos,0,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
FUZZ-IEEE,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Control / Señal / Ingeniería,medium_seed,17.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=medium_seed; área=Control / Señal / Ingeniería,0,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
ICARCV,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Control / Señal / Ingeniería,medium_seed,17.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=medium_seed; área=Control / Señal / Ingeniería,0,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
ITiCSE,2008,2021,7,2008|2013|2014|2017|2018|2020|2021,A,0,7,False,15,2008,2022,2008|2013|2014|2017|2018|2020|2021,A,Educación / Learning technologies,adjacent_or_interdisciplinary,17.0,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 7 versiones CORE; 15 años-artículo requeridos; relevancia=adjacent_or_interdisciplinary; área=Educación / Learning technologies,0,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
ICONIP,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Control / Señal / Ingeniería,adjacent_or_interdisciplinary,16.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=adjacent_or_interdisciplinary; área=Control / Señal / Ingeniería,0,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
IJCNN,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Control / Señal / Ingeniería,adjacent_or_interdisciplinary,16.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=adjacent_or_interdisciplinary; área=Control / Señal / Ingeniería,0,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
ITS,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Educación / Learning technologies,adjacent_or_interdisciplinary,16.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=adjacent_or_interdisciplinary; área=Educación / Learning technologies,0,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
JELIA,2008,2023,8,2008|2013|2014|2017|2018|2020|2021|2023,A,0,8,False,18,2008,2025,2008|2013|2014|2017|2018|2020|2021|2023,A,Sin clasificar,unknown,16.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 8 versiones CORE; 18 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,1
DOOD,2008,2018,5,2008|2013|2014|2017|2018,A,0,5,False,12,2008,2019,2008|2013|2014|2017|2018,A,Bases de datos / Web / Conocimiento,likely_core_cs,16.4,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 5 versiones CORE; 12 años-artículo requeridos; relevancia=likely_core_cs; área=Bases de datos / Web / Conocimiento,0,TIER2,área central pero evidencia insuficiente para inclusión automática,Revisión manual antes de decidir extracción,1
FODO,2008,2018,5,2008|2013|2014|2017|2018,A,0,5,False,12,2008,2019,2008|2013|2014|2017|2018,A,Bases de datos / Web / Conocimiento,likely_core_cs,16.4,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 5 versiones CORE; 12 años-artículo requeridos; relevancia=likely_core_cs; área=Bases de datos / Web / Conocimiento,0,TIER2,área central pero evidencia insuficiente para inclusión automática,Revisión manual antes de decidir extracción,1
GRID,2008,2018,5,2008|2013|2014|2017|2018,A,0,5,False,12,2008,2019,2008|2013|2014|2017|2018,A,Sistemas / HPC / Arquitectura,likely_core_cs,16.4,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 5 versiones CORE; 12 años-artículo requeridos; relevancia=likely_core_cs; área=Sistemas / HPC / Arquitectura,0,TIER2,área central pero evidencia insuficiente para inclusión automática,Revisión manual antes de decidir extracción,1
MassPar,2008,2018,5,2008|2013|2014|2017|2018,A,0,5,False,12,2008,2019,2008|2013|2014|2017|2018,A,Sistemas / HPC / Arquitectura,likely_core_cs,16.4,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 5 versiones CORE; 12 años-artículo requeridos; relevancia=likely_core_cs; área=Sistemas / HPC / Arquitectura,0,TIER2,área central pero evidencia insuficiente para inclusión automática,Revisión manual antes de decidir extracción,1
CogSci,2008,2021,7,2008|2013|2014|2017|2018|2020|2021,A,0,7,False,15,2008,2022,2008|2013|2014|2017|2018|2020|2021,A,Sin clasificar,unknown,16.0,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 7 versiones CORE; 15 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
ICCS,2008,2021,7,2008|2013|2014|2017|2018|2020|2021,A,0,7,False,15,2008,2022,2008|2013|2014|2017|2018|2020|2021,A,Sin clasificar,unknown,16.0,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 7 versiones CORE; 15 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
ISRR,2008,2021,7,2008|2013|2014|2017|2018|2020|2021,A,0,7,False,15,2008,2022,2008|2013|2014|2017|2018|2020|2021,A,Sin clasificar,unknown,16.0,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 7 versiones CORE; 15 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,1
ALIFE,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
ICCCN,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,1
ICSSP,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
IDA,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
IEEE Alife,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
IEEE SSE,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
Interact,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
K-CAP,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
LCN,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,1
LCTES,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,1
LPNMR,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,1
MASCOTS,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,1
Mobiquitous,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,1
NOSSDAV,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,1
Networking,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,1
PACT,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,1
PERFORMANCE,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,1
PG,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,1
SAS,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,1
SCOPES,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,1
SRDS,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,1
SSPR,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,1
SSTD,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,1
TABLEAUX,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,1
USITS,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,1
WISE,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,1
WoWMoM,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,1
e-Science,2008,2020,6,2008|2013|2014|2017|2018|2020,A,0,6,False,13,2008,2020,2008|2013|2014|2017|2018|2020,A,Sin clasificar,unknown,15.6,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 6 versiones CORE; 13 años-artículo requeridos; relevancia=unknown; área=Sin clasificar,0,TIER2,alta prioridad previa pero área adyacente/sin clasificar,Revisión manual antes de decidir extracción,1
AMIA,2008,2018,5,2008|2013|2014|2017|2018,A,0,5,False,12,2008,2019,2008|2013|2014|2017|2018,A,Bioinformática / Informática médica,medium_seed,15.4,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 5 versiones CORE; 12 años-artículo requeridos; relevancia=medium_seed; área=Bioinformática / Informática médica,0,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
CDC,2008,2018,5,2008|2013|2014|2017|2018,A,0,5,False,12,2008,2019,2008|2013|2014|2017|2018,A,Control / Señal / Ingeniería,medium_seed,15.4,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 5 versiones CORE; 12 años-artículo requeridos; relevancia=medium_seed; área=Control / Señal / Ingeniería,0,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
CSB,2008,2018,5,2008|2013|2014|2017|2018,A,0,5,False,12,2008,2019,2008|2013|2014|2017|2018,A,Bioinformática / Informática médica,medium_seed,15.4,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 5 versiones CORE; 12 años-artículo requeridos; relevancia=medium_seed; área=Bioinformática / Informática médica,0,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
ECIS,2008,2018,5,2008|2013|2014|2017|2018,A,0,5,False,12,2008,2019,2008|2013|2014|2017|2018,A,Sistemas de información,medium_seed,15.4,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 5 versiones CORE; 12 años-artículo requeridos; relevancia=medium_seed; área=Sistemas de información,0,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
ICADL,2008,2018,5,2008|2013|2014|2017|2018,A,0,5,False,12,2008,2019,2008|2013|2014|2017|2018,A,Sin clasificar,medium_seed,15.4,HIGH,Extraer DBLP y resolver afiliaciones en fase prioritaria,solo A histórico; 5 versiones CORE; 12 años-artículo requeridos; relevancia=medium_seed; área=Sin clasificar,0,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
CBSE,2008,2013,2,2008|2013,A,0,2,False,6,2008,2013,2008|2013,A,Ingeniería del Software / Servicios,high_seed,13.2,MEDIUM,Revisión manual antes de extraer DBLP,solo A histórico; 2 versiones CORE; 6 años-artículo requeridos; relevancia=high_seed; área=Ingeniería del Software / Servicios,1,TIER2,área central pero evidencia insuficiente para inclusión automática,Revisión manual antes de decidir extracción,1
DocEng,2008,2013,2,2008|2013,A,0,2,False,6,2008,2013,2008|2013,A,HCI / CSCW / Documentos,high_seed,13.2,MEDIUM,Revisión manual antes de extraer DBLP,solo A histórico; 2 versiones CORE; 6 años-artículo requeridos; relevancia=high_seed; área=HCI / CSCW / Documentos,1,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
AIME,2008,2014,3,2008|2013|2014,A,0,3,False,9,2008,2016,2008|2013|2014,A,Bioinformática / Informática médica,medium_seed,11.8,MEDIUM,Revisión manual antes de extraer DBLP,solo A histórico; 3 versiones CORE; 9 años-artículo requeridos; relevancia=medium_seed; área=Bioinformática / Informática médica,1,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
AMCIS,2013,2018,4,2013|2014|2017|2018,A,0,4,False,7,2013,2019,2013|2014|2017|2018,A,Sistemas de información,medium_seed,11.4,MEDIUM,Revisión manual antes de extraer DBLP,solo A histórico; 4 versiones CORE; 7 años-artículo requeridos; relevancia=medium_seed; área=Sistemas de información,1,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
DESRIST,2013,2018,4,2013|2014|2017|2018,A,0,4,False,7,2013,2019,2013|2014|2017|2018,A,Sistemas de información,medium_seed,11.4,MEDIUM,Revisión manual antes de extraer DBLP,solo A histórico; 4 versiones CORE; 7 años-artículo requeridos; relevancia=medium_seed; área=Sistemas de información,1,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
HICSS,2013,2018,4,2013|2014|2017|2018,A,0,4,False,7,2013,2019,2013|2014|2017|2018,A,Sistemas de información,medium_seed,11.4,MEDIUM,Revisión manual antes de extraer DBLP,solo A histórico; 4 versiones CORE; 7 años-artículo requeridos; relevancia=medium_seed; área=Sistemas de información,1,TIER2,venue relevante pero fronterizo/interdisciplinar en lista curada Tier 2,Revisión manual antes de decidir extracción,1
CAIP,2008,2008,1,2008,A,0,1,False,5,2008,2012,2008,A,Visión / Imagen / Gráficos,high_seed,11.0,MEDIUM,Revisión manual antes de extraer DBLP,solo A histórico; 1 versiones CORE; 5 años-artículo requeridos; relevancia=high_seed; área=Visión / Imagen / Gráficos,1,TIER2,área central pero evidencia insuficiente para inclusión automática,Revisión manual antes de decidir extracción,1
CGI,2008,2008,1,2008,A,0,1,False,5,2008,2012,2008,A,Visión / Imagen / Gráficos,high_seed,11.0,MEDIUM,Revisión manual antes de extraer DBLP,solo A histórico; 1 versiones CORE; 5 años-artículo requeridos; relevancia=high_seed; área=Visión / Imagen / Gráficos,1,TIER2,área central pero evidencia insuficiente para inclusión automática,Revisión manual antes de decidir extracción,1
CPAIOR,2008,2008,1,2008,A,0,1,False,5,2008,2012,2008,A,Teoría / Métodos formales / PL,high_seed,11.0,MEDIUM,Revisión manual antes de extraer DBLP,solo A histórico; 1 versiones CORE; 5 años-artículo requeridos; relevancia=high_seed; área=Teoría / Métodos formales / PL,1,TIER2,área central pero evidencia insuficiente para inclusión automática,Revisión manual antes de decidir extracción,1
DEXA,2008,2008,1,2008,A,0,1,False,5,2008,2012,2008,A,Bases de datos / Web / Conocimiento,high_seed,11.0,MEDIUM,Revisión manual antes de extraer DBLP,solo A histórico; 1 versiones CORE; 5 años-artículo requeridos; relevancia=high_seed; área=Bases de datos / Web / Conocimiento,1,TIER2,área central pero evidencia insuficiente para inclusión automática,Revisión manual antes de decidir extracción,1
