venue,area,level,total,resolved,coverage
ICRA,IA / ML,A*,23565,23122,0.9812009335879482
MICRO,Sistemas,A*,1498,1470,0.9813084112149533
MOBICOM,Redes,A*,1930,1895,0.9818652849740933
EuroSys,Sistemas,A,775,761,0.9819354838709677
ICDCS,Sistemas,A,2847,2796,0.982086406743941
IROS,IA / ML,A,23281,22864,0.9820883982646793
ICME,IA / ML,A,9384,9218,0.98231031543052
CaiSE,Ing. del Software,A,976,959,0.9825819672131147
SIGMETRICS,Sistemas,A*,700,688,0.9828571428571429
BPM,Ing. del Software,A,527,518,0.9829222011385199
TACAS,Ing. del Software,A,728,716,0.9835164835164835
SIGSPATIAL,Bases de datos,A,2066,2032,0.9835430784123911
ECIR,Bases de datos,A,1300,1279,0.9838461538461538
CCS,Seguridad,A*,3754,3696,0.9845498135322323
ICDM,Bases de datos,A*,3834,3776,0.9848721961398018
MMSys,Redes,A,709,699,0.9858956276445698
RTAS,Sistemas,A,432,426,0.9861111111111112
IUI,HCI,A,1707,1685,0.987111892208553
POPL,Ing. del Software,A*,719,710,0.9874826147426982
IMC,Redes,A,322,318,0.9875776397515528
SIGMOD,Bases de datos,A*,3268,3230,0.9883720930232558
ICFP,Ing. del Software,A,528,522,0.9886363636363636
OOPSLA,Ing. del Software,A,665,658,0.9894736842105263
WWW,Bases de datos,A*,5251,5196,0.9895258046086459
SIGCOMM,Redes,A*,1388,1375,0.9906340057636888
FSE,Ing. del Software,A*,546,541,0.9908424908424909
ASSETS,HCI,A,1996,1979,0.9914829659318637
LAK,IA / ML,A,1100,1091,0.9918181818181818
PPSN,IA / ML,A,616,611,0.9918831168831169
SEAMS,Ing. del Software,A,124,123,0.9919354838709677
ESEM,Ing. del Software,A,1036,1028,0.9922779922779923
Mobisys,Redes,A,1378,1368,0.9927431059506531
IJCAR,Teoría,A,446,443,0.9932735426008968
ICPC,Ing. del Software,A,895,889,0.9932960893854749
ICS,Sistemas,A,1090,1083,0.9935779816513761
ACMMM,IA / ML,A*,10640,10579,0.9942669172932331
KDD,Bases de datos,A*,5964,5931,0.994466800804829
PODS,Bases de datos,A*,735,731,0.9945578231292517
CSCW,HCI,A,1371,1364,0.9948942377826404
STOC,Teoría,A*,2666,2653,0.9951237809452363
DIS,HCI,A,2053,2043,0.9951290793960058
UMAP,HCI,A,856,852,0.9953271028037384
MSWIM,Redes,A,1124,1119,0.9955516014234875
CIKM,Bases de datos,A,8847,8813,0.9961568893410195
SIGIR,Bases de datos,A*,6294,6272,0.9965046075627582
ISSTA,Ing. del Software,A,1068,1065,0.9971910112359551
EC,Teoría,A*,1923,1918,0.9973998959958398
SIGCSE,HCI,A,4680,4668,0.9974358974358974
ASPLOS,Sistemas,A*,891,889,0.9977553310886644
WSDM,Bases de datos,A,1962,1958,0.9979612640163099
PLDI,Ing. del Software,A*,1066,1064,0.99812382739212
ICER,HCI,A,583,582,0.9982847341337907
UIST,HCI,A*,1790,1787,0.9983240223463687
CHI,HCI,A*,11478,11463,0.9986931521170935
AsiaCCS,Seguridad,A,541,541,1.0
