status,es0,eu0,es1,eu1,share0,share1,from,to,overall_share0,overall_share1
disappeared_or_zero_in_final,63.0,1543.0,0.0,0.0,0.04082955281918341,,2001-2005,2021-2025,0.06790730337078651,0.042306220502572385
new_or_zero_in_base,0.0,0.0,441.0,12166.0,,0.03624856156501726,2001-2005,2021-2025,0.06790730337078651,0.042306220502572385
present_both,904.0,12697.0,1549.0,34872.0,0.07119792076868552,0.04441959164946088,2001-2005,2021-2025,0.06790730337078651,0.042306220502572385
disappeared_or_zero_in_final,119.0,1855.0,0.0,0.0,0.06415094339622641,,2006-2010,2021-2025,0.07619738751814223,0.042306220502572385
new_or_zero_in_base,0.0,0.0,147.0,4251.0,,0.03458009880028229,2006-2010,2021-2025,0.07619738751814223,0.042306220502572385
present_both,1561.0,20193.0,1843.0,42787.0,0.07730401624325262,0.04307383083646902,2006-2010,2021-2025,0.07619738751814223,0.042306220502572385
disappeared_or_zero_in_final,172.0,2188.0,0.0,0.0,0.07861060329067641,,2011-2015,2021-2025,0.0730410162228344,0.042306220502572385
new_or_zero_in_base,0.0,0.0,114.0,3670.0,,0.03106267029972752,2011-2015,2021-2025,0.0730410162228344,0.042306220502572385
present_both,1737.0,23948.0,1876.0,43368.0,0.07253215299816268,0.043257701531082826,2011-2015,2021-2025,0.0730410162228344,0.042306220502572385
