window,scenario,country_code,count,eu_den,share,rank
2001-2005,optimistic_ES,CY,25,25708,0.0009724599346506924,21
2001-2005,optimistic_ES,HU,130,25708,0.0050567916601836,17
2001-2005,optimistic_ES,GB,2998,25708,0.11661739536331103,3
2001-2005,optimistic_ES,BG,22,25708,0.0008557647424926093,22
2001-2005,optimistic_ES,PT,230,25708,0.00894663139878637,13
2001-2005,optimistic_ES,SK,29,25708,0.0011280535241948032,20
2001-2005,optimistic_ES,FI,333,25708,0.012953166329547223,10
2001-2005,optimistic_ES,IE,226,25708,0.00879103780924226,14
2001-2005,optimistic_ES,SI,74,25708,0.0028784814065660495,18
2001-2005,optimistic_ES,LU,12,25708,0.00046678076863233234,24
2001-2005,optimistic_ES,LV,11,25708,0.0004278823712463047,26
2001-2005,optimistic_ES,EE,14,25708,0.0005445775634043878,23
2001-2005,optimistic_ES,HR,12,25708,0.00046678076863233234,24
2001-2005,optimistic_ES,FR,2545,25708,0.09899642134744048,4
2001-2005,optimistic_ES,DK,264,25708,0.010269176909911311,12
2001-2005,optimistic_ES,IT,1507,25708,0.05861988486074374,5
2001-2005,optimistic_ES,CZ,190,25708,0.007390695503345262,15
2001-2005,optimistic_ES,LT,5,25708,0.00019449198693013848,27
2001-2005,optimistic_ES,SE,612,25708,0.023805819200248948,7
2001-2005,optimistic_ES,PL,151,25708,0.005873658005290182,16
2001-2005,pessimistic_ES,AT,332,25708,0.012914267932161196,11
2001-2005,pessimistic_ES,MT,1,25708,3.8898397386027695e-05,28
2001-2005,pessimistic_ES,BE,454,25708,0.017659872413256575,8
2001-2005,pessimistic_ES,RO,31,25708,0.0012058503189668586,19
2001-2005,pessimistic_ES,NL,1091,25708,0.042438151548156215,5
2001-2005,pessimistic_ES,DE,3145,25708,0.1223354597790571,1
2001-2005,pessimistic_ES,GR,345,25708,0.013419947098179555,9
2001-2005,pessimistic_ES,ES,967,25708,0.037614750272288784,6
2001-2005,pessimistic_ES,CY,25,25708,0.0009724599346506924,21
2001-2005,pessimistic_ES,HU,130,25708,0.0050567916601836,17
2001-2005,pessimistic_ES,GB,2998,25708,0.11661739536331103,2
2001-2005,pessimistic_ES,BG,22,25708,0.0008557647424926093,22
2001-2005,pessimistic_ES,PT,230,25708,0.00894663139878637,13
2001-2005,pessimistic_ES,SK,29,25708,0.0011280535241948032,20
2001-2005,pessimistic_ES,FI,333,25708,0.012953166329547223,10
2001-2005,pessimistic_ES,IE,226,25708,0.00879103780924226,14
2001-2005,pessimistic_ES,SI,74,25708,0.0028784814065660495,18
2001-2005,pessimistic_ES,LU,12,25708,0.00046678076863233234,24
2001-2005,pessimistic_ES,LV,11,25708,0.0004278823712463047,26
2001-2005,pessimistic_ES,EE,14,25708,0.0005445775634043878,23
2001-2005,pessimistic_ES,HR,12,25708,0.00046678076863233234,24
2001-2005,pessimistic_ES,FR,2545,25708,0.09899642134744048,3
2001-2005,pessimistic_ES,DK,264,25708,0.010269176909911311,12
2001-2005,pessimistic_ES,IT,1507,25708,0.05861988486074374,4
2001-2005,pessimistic_ES,CZ,190,25708,0.007390695503345262,15
2001-2005,pessimistic_ES,LT,5,25708,0.00019449198693013848,27
