window,area,partner_country,collab_papers
2021-2025,IA / ML,BI,1
2021-2025,IA / ML,CM,1
2021-2025,IA / ML,CR,1
2021-2025,IA / ML,CY,1
2021-2025,IA / ML,EC,1
2021-2025,IA / ML,EE,1
2021-2025,IA / ML,GH,1
2021-2025,IA / ML,HU,1
2021-2025,IA / ML,ID,1
2021-2025,IA / ML,KE,1
2021-2025,IA / ML,MA,1
2021-2025,IA / ML,NP,1
2021-2025,IA / ML,SI,1
2021-2025,IA / ML,SO,1
2021-2025,IA / ML,SS,1
2021-2025,IA / ML,TN,1
2021-2025,IA / ML,TR,1
2021-2025,IA / ML,TW,1
2021-2025,IA / ML,UA,1
2021-2025,IA / ML,UG,1
2021-2025,Ing. del Software,US,16
2021-2025,Ing. del Software,IT,13
2021-2025,Ing. del Software,CA,9
2021-2025,Ing. del Software,FR,9
2021-2025,Ing. del Software,GB,9
2021-2025,Ing. del Software,SE,9
2021-2025,Ing. del Software,AR,8
2021-2025,Ing. del Software,CN,8
2021-2025,Ing. del Software,CH,7
2021-2025,Ing. del Software,DE,7
2021-2025,Ing. del Software,FI,6
2021-2025,Ing. del Software,LU,5
2021-2025,Ing. del Software,BR,4
2021-2025,Ing. del Software,AU,3
2021-2025,Ing. del Software,NL,3
2021-2025,Ing. del Software,NO,3
2021-2025,Ing. del Software,PT,3
2021-2025,Ing. del Software,AT,2
2021-2025,Ing. del Software,BE,2
2021-2025,Ing. del Software,JP,2
2021-2025,Ing. del Software,TH,2
2021-2025,Ing. del Software,IL,1
2021-2025,Ing. del Software,KR,1
2021-2025,Ing. del Software,PK,1
2021-2025,Ing. del Software,PL,1
2021-2025,Ing. del Software,SG,1
2021-2025,Redes,GB,15
2021-2025,Redes,US,15
2021-2025,Redes,FR,13
2021-2025,Redes,IT,11
2021-2025,Redes,EC,7
2021-2025,Redes,NL,7
2021-2025,Redes,DE,4
2021-2025,Redes,SE,4
2021-2025,Redes,BE,3
2021-2025,Redes,CA,3
2021-2025,Redes,CN,3
2021-2025,Redes,HK,3
2021-2025,Redes,AE,2
2021-2025,Redes,IR,2
2021-2025,Redes,JP,2
2021-2025,Redes,MX,2
2021-2025,Redes,NO,2
2021-2025,Redes,AT,1
2021-2025,Redes,BR,1
2021-2025,Redes,CH,1
2021-2025,Redes,CR,1
2021-2025,Redes,CU,1
2021-2025,Redes,ET,1
2021-2025,Redes,FI,1
2021-2025,Redes,GR,1
2021-2025,Redes,HU,1
2021-2025,Redes,IE,1
2021-2025,Redes,IQ,1
2021-2025,Redes,LU,1
2021-2025,Redes,PK,1
2021-2025,Redes,PL,1
2021-2025,Redes,PT,1
2021-2025,Redes,SG,1
2021-2025,Seguridad,US,21
2021-2025,Seguridad,DE,18
2021-2025,Seguridad,GB,10
2021-2025,Seguridad,AT,9
2021-2025,Seguridad,FR,9
2021-2025,Seguridad,NL,6
2021-2025,Seguridad,GR,4
2021-2025,Seguridad,CA,3
2021-2025,Seguridad,CN,2
2021-2025,Seguridad,DK,2
2021-2025,Seguridad,IT,2
2021-2025,Seguridad,KR,2
2021-2025,Seguridad,MX,2
2021-2025,Seguridad,AU,1
2021-2025,Seguridad,BR,1
2021-2025,Seguridad,CH,1
2021-2025,Seguridad,FI,1
2021-2025,Seguridad,HR,1
2021-2025,Seguridad,KY,1
2021-2025,Seguridad,LU,1
2021-2025,Seguridad,NO,1
2021-2025,Seguridad,PT,1
2021-2025,Seguridad,TR,1
2021-2025,Sistemas,US,38
2021-2025,Sistemas,FR,25
2021-2025,Sistemas,GB,21
2021-2025,Sistemas,DE,18
2021-2025,Sistemas,CH,12
2021-2025,Sistemas,GR,12
2021-2025,Sistemas,NL,11
2021-2025,Sistemas,IT,10
2021-2025,Sistemas,CA,7
2021-2025,Sistemas,SE,7
2021-2025,Sistemas,CN,6
2021-2025,Sistemas,BE,5
2021-2025,Sistemas,IE,5
2021-2025,Sistemas,PT,5
2021-2025,Sistemas,BR,4
2021-2025,Sistemas,FI,4
2021-2025,Sistemas,IL,4
2021-2025,Sistemas,KR,4
2021-2025,Sistemas,AT,3
2021-2025,Sistemas,IR,3
2021-2025,Sistemas,JP,3
2021-2025,Sistemas,MX,3
2021-2025,Sistemas,TR,3
2021-2025,Sistemas,CY,2
2021-2025,Sistemas,EE,2
2021-2025,Sistemas,IN,2
2021-2025,Sistemas,TW,2
2021-2025,Sistemas,DK,1
2021-2025,Sistemas,DZ,1
2021-2025,Sistemas,HK,1
2021-2025,Sistemas,HU,1
2021-2025,Sistemas,LU,1
2021-2025,Sistemas,MA,1
2021-2025,Sistemas,NO,1
2021-2025,Sistemas,RU,1
2021-2025,Sistemas,SG,1
2021-2025,Sistemas,SS,1
2021-2025,Teoría,US,17
2021-2025,Teoría,DE,11
2021-2025,Teoría,GB,11
2021-2025,Teoría,NL,9
2021-2025,Teoría,AT,7
2021-2025,Teoría,CN,5
2021-2025,Teoría,FR,5
2021-2025,Teoría,IT,5
2021-2025,Teoría,CA,4
2021-2025,Teoría,CH,4
2021-2025,Teoría,DK,4
2021-2025,Teoría,CZ,3
2021-2025,Teoría,IL,3
2021-2025,Teoría,RU,2
2021-2025,Teoría,AU,1
2021-2025,Teoría,BE,1
2021-2025,Teoría,IE,1
2021-2025,Teoría,IN,1
2021-2025,Teoría,JP,1
2021-2025,Teoría,MX,1
2021-2025,Teoría,SE,1
2021-2025,Teoría,SG,1
