observed,ci_low_2_5,ci_high_97_5,bootstrap_sd,B,n_clusters,n_articles,window,elapsed_seconds
0.06790730337078651,0.06072319646274224,0.07575909055410723,0.003941023599463858,500,580,56238,2001-2005,0.27
0.07619738751814223,0.07069236776792277,0.08165509752936335,0.0028381632908614386,500,679,75088,2006-2010,0.36
0.0730410162228344,0.06797125236932317,0.07785094551429567,0.0024903541265557595,500,714,86590,2011-2015,0.4
0.049131561270511465,0.04439166092076463,0.05370922075677225,0.002381034594876423,500,701,118717,2016-2020,0.4
0.042306220502572385,0.03913453710801351,0.0459658445891165,0.0017051718602844508,500,676,198511,2021-2025,0.69
