window,denominator_group,country_code,count,denominator,share
2001-2005,world_resolved,MZ,1,44770,2.233638597274961e-05
2001-2005,world_resolved,NC,1,44770,2.233638597274961e-05
2001-2005,world_resolved,NE,0,44770,0.0
2001-2005,world_resolved,NG,5,44770,0.00011168192986374804
2001-2005,world_resolved,NI,0,44770,0.0
2001-2005,world_resolved,NL,1091,44770,0.024368997096269822
2001-2005,world_resolved,NO,110,44770,0.002457002457002457
2001-2005,world_resolved,NP,0,44770,0.0
2001-2005,world_resolved,NZ,104,44770,0.0023229841411659593
2001-2005,world_resolved,OM,3,44770,6.700915791824883e-05
2001-2005,world_resolved,PA,1,44770,2.233638597274961e-05
2001-2005,world_resolved,PE,0,44770,0.0
2001-2005,world_resolved,PF,0,44770,0.0
2001-2005,world_resolved,PH,13,44770,0.0002903730176457449
2001-2005,world_resolved,PK,10,44770,0.00022336385972749609
2001-2005,world_resolved,PL,151,44770,0.003372794281885191
2001-2005,world_resolved,PR,5,44770,0.00011168192986374804
2001-2005,world_resolved,PS,0,44770,0.0
2001-2005,world_resolved,PT,230,44770,0.00513736877373241
2001-2005,world_resolved,PW,0,44770,0.0
2001-2005,world_resolved,PY,0,44770,0.0
2001-2005,world_resolved,QA,2,44770,4.467277194549922e-05
2001-2005,world_resolved,RE,0,44770,0.0
2001-2005,world_resolved,RO,31,44770,0.0006924279651552379
2001-2005,world_resolved,RS,7,44770,0.00015635470180924726
2001-2005,world_resolved,RU,116,44770,0.0025910207728389546
2001-2005,world_resolved,RW,0,44770,0.0
2001-2005,world_resolved,SA,9,44770,0.00020102747375474648
2001-2005,world_resolved,SD,0,44770,0.0
2001-2005,world_resolved,SE,612,44770,0.013669868215322761
2001-2005,world_resolved,SG,726,44770,0.016216216216216217
2001-2005,world_resolved,SI,74,44770,0.001652892561983471
2001-2005,world_resolved,SK,29,44770,0.0006477551932097386
2001-2005,world_resolved,SL,0,44770,0.0
2001-2005,world_resolved,SM,0,44770,0.0
2001-2005,world_resolved,SN,0,44770,0.0
2001-2005,world_resolved,SO,2,44770,4.467277194549922e-05
2001-2005,world_resolved,SS,11,44770,0.0002457002457002457
2001-2005,world_resolved,SY,0,44770,0.0
2001-2005,world_resolved,SZ,1,44770,2.233638597274961e-05
2001-2005,world_resolved,TD,0,44770,0.0
2001-2005,world_resolved,TG,0,44770,0.0
2001-2005,world_resolved,TH,56,44770,0.001250837614473978
2001-2005,world_resolved,TJ,3,44770,6.700915791824883e-05
2001-2005,world_resolved,TM,0,44770,0.0
2001-2005,world_resolved,TN,17,44770,0.00037971856153674335
2001-2005,world_resolved,TR,86,44770,0.0019209291936564663
2001-2005,world_resolved,TT,0,44770,0.0
2001-2005,world_resolved,TV,0,44770,0.0
2001-2005,world_resolved,TW,739,44770,0.01650658923386196
2001-2005,world_resolved,TZ,1,44770,2.233638597274961e-05
2001-2005,world_resolved,UA,6,44770,0.00013401831583649765
2001-2005,world_resolved,UG,0,44770,0.0
2001-2005,world_resolved,UM,0,44770,0.0
2001-2005,world_resolved,US,22367,44770,0.4995979450524905
2001-2005,world_resolved,UY,0,44770,0.0
2001-2005,world_resolved,UZ,0,44770,0.0
2001-2005,world_resolved,VA,0,44770,0.0
2001-2005,world_resolved,VE,12,44770,0.0002680366316729953
2001-2005,world_resolved,VG,3,44770,6.700915791824883e-05
2001-2005,world_resolved,VI,0,44770,0.0
2001-2005,world_resolved,VN,5,44770,0.00011168192986374804
2001-2005,world_resolved,WS,0,44770,0.0
2001-2005,world_resolved,XK,0,44770,0.0
2001-2005,world_resolved,YE,1,44770,2.233638597274961e-05
2001-2005,world_resolved,ZA,18,44770,0.00040205494750949295
2001-2005,world_resolved,ZM,0,44770,0.0
2001-2005,world_resolved,ZW,0,44770,0.0
2001-2005,eu27_uk,AT,332,14240,0.023314606741573034
2001-2005,eu27_uk,BE,454,14240,0.03188202247191011
2001-2005,eu27_uk,BG,22,14240,0.001544943820224719
2001-2005,eu27_uk,CY,25,14240,0.0017556179775280898
2001-2005,eu27_uk,CZ,190,14240,0.013342696629213483
2001-2005,eu27_uk,DE,3145,14240,0.2208567415730337
2001-2005,eu27_uk,DK,264,14240,0.01853932584269663
2001-2005,eu27_uk,EE,14,14240,0.0009831460674157304
2001-2005,eu27_uk,ES,967,14240,0.06790730337078651
2001-2005,eu27_uk,FI,333,14240,0.023384831460674157
2001-2005,eu27_uk,FR,2545,14240,0.17872191011235955
2001-2005,eu27_uk,GB,2998,14240,0.21053370786516853
2001-2005,eu27_uk,GR,345,14240,0.02422752808988764
2001-2005,eu27_uk,HR,12,14240,0.0008426966292134832
2001-2005,eu27_uk,HU,130,14240,0.009129213483146067
2001-2005,eu27_uk,IE,226,14240,0.015870786516853932
2001-2005,eu27_uk,IT,1507,14240,0.10582865168539325
2001-2005,eu27_uk,LT,5,14240,0.00035112359550561797
2001-2005,eu27_uk,LU,12,14240,0.0008426966292134832
2001-2005,eu27_uk,LV,11,14240,0.0007724719101123596
2001-2005,eu27_uk,MT,1,14240,7.02247191011236e-05
2001-2005,eu27_uk,NL,1091,14240,0.07661516853932585
2001-2005,eu27_uk,PL,151,14240,0.010603932584269662
2001-2005,eu27_uk,PT,230,14240,0.016151685393258428
2001-2005,eu27_uk,RO,31,14240,0.0021769662921348313
2001-2005,eu27_uk,SE,612,14240,0.04297752808988764
2001-2005,eu27_uk,SI,74,14240,0.0051966292134831464
2001-2005,eu27_uk,SK,29,14240,0.0020365168539325843
2001-2005,europe_extended,AL,0,16075,0.0
2001-2005,europe_extended,AM,0,16075,0.0
2001-2005,europe_extended,AT,332,16075,0.020653188180404354
2001-2005,europe_extended,BA,0,16075,0.0
2001-2005,europe_extended,BE,454,16075,0.028242612752721618
2001-2005,europe_extended,BG,22,16075,0.0013685847589424572
2001-2005,europe_extended,CH,936,16075,0.05822706065318818
2001-2005,europe_extended,CY,25,16075,0.0015552099533437014
2001-2005,europe_extended,CZ,190,16075,0.01181959564541213
2001-2005,europe_extended,DE,3145,16075,0.19564541213063763
2001-2005,europe_extended,DK,264,16075,0.016423017107309486
2001-2005,europe_extended,EE,14,16075,0.0008709175738724728
2001-2005,europe_extended,ES,967,16075,0.06015552099533437
2001-2005,europe_extended,FI,333,16075,0.020715396578538103
2001-2005,europe_extended,FR,2545,16075,0.1583203732503888
2001-2005,europe_extended,GB,2998,16075,0.18650077760497666
2001-2005,europe_extended,GE,0,16075,0.0
2001-2005,europe_extended,GR,345,16075,0.02146189735614308
2001-2005,europe_extended,HR,12,16075,0.0007465007776049767
2001-2005,europe_extended,HU,130,16075,0.008087091757387248
2001-2005,europe_extended,IE,226,16075,0.014059097978227061
2001-2005,europe_extended,IL,1098,16075,0.06830482115085537
2001-2005,europe_extended,IS,10,16075,0.0006220839813374805
2001-2005,europe_extended,IT,1507,16075,0.09374805598755832
2001-2005,europe_extended,LI,0,16075,0.0
2001-2005,europe_extended,LT,5,16075,0.00031104199066874026
2001-2005,europe_extended,LU,12,16075,0.0007465007776049767
2001-2005,europe_extended,LV,11,16075,0.0006842923794712286
2001-2005,europe_extended,MD,2,16075,0.0001244167962674961
2001-2005,europe_extended,ME,0,16075,0.0
2001-2005,europe_extended,MK,3,16075,0.00018662519440124418
2001-2005,europe_extended,MT,1,16075,6.220839813374805e-05
2001-2005,europe_extended,NL,1091,16075,0.06786936236391913
2001-2005,europe_extended,NO,110,16075,0.006842923794712286
2001-2005,europe_extended,PL,151,16075,0.009393468118195957
2001-2005,europe_extended,PT,230,16075,0.014307931570762053
2001-2005,europe_extended,RO,31,16075,0.0019284603421461897
2001-2005,europe_extended,RS,7,16075,0.0004354587869362364
2001-2005,europe_extended,SE,612,16075,0.03807153965785381
2001-2005,europe_extended,SI,74,16075,0.004603421461897356
2001-2005,europe_extended,SK,29,16075,0.0018040435458786936
2001-2005,europe_extended,TR,86,16075,0.005349922239502333
2001-2005,europe_extended,UA,6,16075,0.00037325038880248835
2001-2005,comparable,AT,332,7376,0.045010845986984814
2001-2005,comparable,BE,454,7376,0.061550976138828636
2001-2005,comparable,CH,936,7376,0.12689804772234273
2001-2005,comparable,CZ,190,7376,0.025759219088937094
2001-2005,comparable,DK,264,7376,0.03579175704989154
2001-2005,comparable,ES,967,7376,0.1311008676789588
2001-2005,comparable,FI,333,7376,0.045146420824295014
2001-2005,comparable,GR,345,7376,0.046773318872017355
2001-2005,comparable,HU,130,7376,0.01762472885032538
2001-2005,comparable,IE,226,7376,0.030639913232104122
2001-2005,comparable,IT,1507,7376,0.20431127982646421
2001-2005,comparable,NL,1091,7376,0.147912147505423
2001-2005,comparable,NO,110,7376,0.014913232104121476
2001-2005,comparable,PL,151,7376,0.02047180043383948
2001-2005,comparable,PT,230,7376,0.031182212581344904
2001-2005,comparable,SE,612,7376,0.08297180043383948
2006-2010,world_resolved,AE,26,63820,0.000407395800689439
2006-2010,world_resolved,AF,1,63820,1.5669069257286116e-05
2006-2010,world_resolved,AL,1,63820,1.5669069257286116e-05
2006-2010,world_resolved,AM,0,63820,0.0
2006-2010,world_resolved,AO,0,63820,0.0
2006-2010,world_resolved,AR,59,63820,0.000924475086179881
2006-2010,world_resolved,AS,0,63820,0.0
2006-2010,world_resolved,AT,648,63820,0.010153556878721404
2006-2010,world_resolved,AU,1637,63820,0.025650266374177375
2006-2010,world_resolved,AZ,0,63820,0.0
2006-2010,world_resolved,BA,0,63820,0.0
2006-2010,world_resolved,BB,1,63820,1.5669069257286116e-05
2006-2010,world_resolved,BD,14,63820,0.00021936696960200565
