window,country_code,complete_count,fractional_count,eu_complete_den,eu_fractional_den,complete_share_eu,fractional_share_eu,complete_rank,fractional_rank,delta_share_pp_fractional_minus_complete
2001-2005,ES,967,779.4,14240,12513.952380952382,0.06790730337078651,0.06228248088799929,6,6,-0.5624822482787222
2006-2010,ES,1680,1257.277380952381,22048,18868.734523809522,0.07619738751814223,0.06663284065849169,5,5,-0.9564546859650538
2011-2015,ES,1909,1286.620634920635,26136,21791.03888888889,0.0730410162228344,0.05904356563636232,5,5,-1.399745058647208
2016-2020,ES,1536,986.3427960927961,31263,25018.280402930402,0.049131561270511465,0.03942488373330668,6,6,-0.9706677537204784
2021-2025,ES,1990,1179.9094627594627,47038,35705.55937257187,0.042306220502572385,0.03304553922395177,8,8,-0.9260681278620613
