venue,window,area,level,total_papers,resolved_papers,coverage
CVPR,2006-2010,IA / ML,A*,1887,1850.0,0.9803921568627451
CVPR,2011-2015,IA / ML,A*,2518,2499.0,0.9924543288324067
CVPR,2016-2020,IA / ML,A*,5164,5027.0,0.9734701781564679
CVPR,2021-2025,IA / ML,A*,11674,11392.0,0.9758437553537777
CaiSE,2001-2005,Ing. del Software,A,231,226.0,0.9783549783549783
CaiSE,2006-2010,Ing. del Software,A,205,202.0,0.9853658536585366
CaiSE,2011-2015,Ing. del Software,A,217,213.0,0.9815668202764977
CaiSE,2016-2020,Ing. del Software,A,187,182.0,0.9732620320855615
CaiSE,2021-2025,Ing. del Software,A,136,136.0,1.0
CoNEXT,2001-2005,Redes,A,63,62.0,0.9841269841269841
CoNEXT,2006-2010,Redes,A,271,258.0,0.9520295202952029
CoNEXT,2011-2015,Redes,A,184,184.0,1.0
CoNEXT,2016-2020,Redes,A,206,202.0,0.9805825242718447
CoNEXT,2021-2025,Redes,A,78,75.0,0.9615384615384616
DAC,2001-2005,Sistemas,A*,906,869.0,0.9591611479028698
DAC,2006-2010,Sistemas,A*,991,953.0,0.9616548940464178
DAC,2011-2015,Sistemas,A*,984,968.0,0.983739837398374
DAC,2016-2020,Sistemas,A*,1030,1014.0,0.9844660194174757
DAC,2021-2025,Sistemas,A*,1639,1624.0,0.9908480780964003
DATE,2001-2005,Sistemas,A,1292,1071.0,0.8289473684210527
DATE,2006-2010,Sistemas,A,1523,1392.0,0.9139855548260013
DATE,2011-2015,Sistemas,A,1683,1522.0,0.9043374925727867
DATE,2016-2020,Sistemas,A,1608,1284.0,0.7985074626865671
DATE,2021-2025,Sistemas,A,1768,1704.0,0.9638009049773756
DIS,2001-2005,HCI,A,114,104.0,0.9122807017543859
DIS,2006-2010,HCI,A,172,172.0,1.0
DIS,2011-2015,HCI,A,222,222.0,1.0
DIS,2016-2020,HCI,A,647,647.0,1.0
DIS,2021-2025,HCI,A,898,898.0,1.0
DISC,2001-2005,Sistemas,A,152,148.0,0.9736842105263158
DISC,2006-2010,Sistemas,A,244,244.0,1.0
DISC,2011-2015,Sistemas,A,229,205.0,0.8951965065502183
DISC,2016-2020,Sistemas,A,250,233.0,0.932
DISC,2021-2025,Sistemas,A,287,276.0,0.9616724738675958
DSN,2001-2005,Sistemas,A,428,393.0,0.9182242990654206
DSN,2006-2010,Sistemas,A,379,366.0,0.9656992084432717
DSN,2011-2015,Sistemas,A,318,318.0,1.0
DSN,2016-2020,Sistemas,A,277,271.0,0.9783393501805054
DSN,2021-2025,Sistemas,A,245,237.0,0.9673469387755103
EACL,2001-2005,IA / ML,A,110,0.0,0.0
EACL,2006-2010,IA / ML,A,192,13.0,0.06770833333333333
EACL,2011-2015,IA / ML,A,278,144.0,0.5179856115107914
EACL,2021-2025,IA / ML,A,606,565.0,0.9323432343234324
EASE,2006-2010,Ing. del Software,A,79,15.0,0.189873417721519
EASE,2011-2015,Ing. del Software,A,182,179.0,0.9835164835164835
EASE,2016-2020,Ing. del Software,A,231,229.0,0.9913419913419913
EASE,2021-2025,Ing. del Software,A,419,418.0,0.9976133651551312
EC,2001-2005,Teoría,A*,182,178.0,0.978021978021978
EC,2006-2010,Teoría,A*,208,207.0,0.9951923076923077
EC,2011-2015,Teoría,A*,350,350.0,1.0
EC,2016-2020,Teoría,A*,330,330.0,1.0
EC,2021-2025,Teoría,A*,853,853.0,1.0
ECAI,2001-2005,IA / ML,A,413,138.0,0.3341404358353511
ECAI,2006-2010,IA / ML,A,685,431.0,0.6291970802919709
ECAI,2011-2015,IA / ML,A,470,435.0,0.925531914893617
ECAI,2016-2020,IA / ML,A,703,621.0,0.883357041251778
ECAI,2021-2025,IA / ML,A,1701,1683.0,0.9894179894179894
ECCV,2001-2005,IA / ML,A*,414,403.0,0.9734299516908212
ECCV,2006-2010,IA / ML,A*,764,749.0,0.9803664921465969
ECCV,2011-2015,IA / ML,A*,770,759.0,0.9857142857142858
ECCV,2016-2020,IA / ML,A*,2549,2499.0,0.9803844644958808
ECCV,2021-2025,IA / ML,A*,4031,3951.0,0.9801538079880923
ECIR,2001-2005,Bases de datos,A,155,154.0,0.9935483870967742
ECIR,2006-2010,Bases de datos,A,411,404.0,0.9829683698296837
ECIR,2011-2015,Bases de datos,A,482,470.0,0.975103734439834
ECIR,2016-2020,Bases de datos,A,252,251.0,0.996031746031746
ECML PKDD,2001-2005,IA / ML,A,272,262.0,0.9632352941176471
ECML PKDD,2006-2010,IA / ML,A,134,134.0,1.0
ECOOP,2001-2005,Ing. del Software,A,121,116.0,0.9586776859504132
ECOOP,2006-2010,Ing. del Software,A,140,136.0,0.9714285714285714
ECOOP,2011-2015,Ing. del Software,A,152,147.0,0.9671052631578947
ECOOP,2016-2020,Ing. del Software,A,148,138.0,0.9324324324324325
ECOOP,2021-2025,Ing. del Software,A,195,189.0,0.9692307692307692
EMNLP,2001-2005,IA / ML,A*,146,51.0,0.3493150684931507
EMNLP,2006-2010,IA / ML,A*,475,17.0,0.035789473684210524
EMNLP,2011-2015,IA / ML,A*,892,699.0,0.7836322869955157
EMNLP,2016-2020,IA / ML,A*,1887,1646.0,0.8722840487546369
EMNLP,2021-2025,IA / ML,A*,5802,3176.0,0.5473974491554636
ER,2001-2005,Bases de datos,A,245,235.0,0.9591836734693877
ER,2006-2010,Bases de datos,A,222,220.0,0.990990990990991
ER,2011-2015,Bases de datos,A,226,224.0,0.9911504424778761
ER,2016-2020,Bases de datos,A,218,214.0,0.981651376146789
ER,2021-2025,Bases de datos,A,128,125.0,0.9765625
ESA,2001-2005,Teoría,A,341,334.0,0.9794721407624634
ESA,2006-2010,Teoría,A,277,274.0,0.9891696750902527
ESA,2011-2015,Teoría,A,362,357.0,0.9861878453038674
ESA,2016-2020,Teoría,A,392,356.0,0.9081632653061225
ESA,2021-2025,Teoría,A,504,484.0,0.9603174603174603
ESEM,2006-2010,Ing. del Software,A,271,267.0,0.985239852398524
ESEM,2011-2015,Ing. del Software,A,267,266.0,0.9962546816479401
ESEM,2016-2020,Ing. del Software,A,268,265.0,0.9888059701492538
ESEM,2021-2025,Ing. del Software,A,230,230.0,1.0
ESOP,2001-2005,Ing. del Software,A,134,125.0,0.9328358208955224
ESOP,2006-2010,Ing. del Software,A,147,142.0,0.9659863945578231
ESOP,2011-2015,Ing. del Software,A,148,146.0,0.9864864864864865
ESOP,2016-2020,Ing. del Software,A,157,155.0,0.9872611464968153
ESOP,2021-2025,Ing. del Software,A,65,65.0,1.0
ESORICS,2001-2005,Seguridad,A,90,85.0,0.9444444444444444
ESORICS,2006-2010,Seguridad,A,193,190.0,0.9844559585492227
ESORICS,2011-2015,Seguridad,A,129,128.0,0.9922480620155039
EuroCrypt,2001-2005,Seguridad,A*,175,157.0,0.8971428571428571
EuroCrypt,2006-2010,Seguridad,A*,167,161.0,0.9640718562874252
EuroCrypt,2011-2015,Seguridad,A*,156,155.0,0.9935897435897436
EuroS&P,2016-2020,Seguridad,A,182,181.0,0.9945054945054945
EuroS&P,2021-2025,Seguridad,A,259,251.0,0.9691119691119691
EuroSys,2006-2010,Sistemas,A,134,134.0,1.0
EuroSys,2011-2015,Sistemas,A,138,136.0,0.9855072463768116
EuroSys,2016-2020,Sistemas,A,210,202.0,0.9619047619047619
EuroSys,2021-2025,Sistemas,A,293,289.0,0.9863481228668942
FAST,2001-2005,Sistemas,A,86,14.0,0.16279069767441862
FAST,2006-2010,Sistemas,A,86,11.0,0.12790697674418605
FAST,2011-2015,Sistemas,A,122,45.0,0.36885245901639346
FAST,2016-2020,Sistemas,A,127,64.0,0.5039370078740157
FAST,2021-2025,Sistemas,A,144,21.0,0.14583333333333334
FC,2001-2005,Seguridad,A,129,109.0,0.8449612403100775
FC,2006-2010,Seguridad,A,159,149.0,0.9371069182389937
FC,2011-2015,Seguridad,A,159,154.0,0.9685534591194969
FC,2016-2020,Seguridad,A,175,171.0,0.9771428571428571
FC,2021-2025,Seguridad,A,133,123.0,0.924812030075188
FOCS,2001-2005,Teoría,A*,346,330.0,0.953757225433526
FOCS,2006-2010,Teoría,A*,374,358.0,0.9572192513368984
FOCS,2011-2015,Teoría,A*,401,390.0,0.972568578553616
FOCS,2016-2020,Teoría,A*,482,457.0,0.9481327800829875
FOCS,2021-2025,Teoría,A*,639,636.0,0.9953051643192489
FOGA,2001-2005,IA / ML,A,39,16.0,0.41025641025641024
FOGA,2006-2010,IA / ML,A,29,29.0,1.0
FOGA,2011-2015,IA / ML,A,54,54.0,1.0
FOGA,2016-2020,IA / ML,A,29,29.0,1.0
FOGA,2021-2025,IA / ML,A,54,54.0,1.0
FPGA,2001-2005,Sistemas,A,233,225.0,0.9656652360515021
FPGA,2006-2010,Sistemas,A,254,248.0,0.9763779527559056
FPGA,2011-2015,Sistemas,A,339,339.0,1.0
FPGA,2016-2020,Sistemas,A,368,306.0,0.8315217391304348
FPGA,2021-2025,Sistemas,A,226,226.0,1.0
FSE,2001-2005,Ing. del Software,A*,46,42.0,0.9130434782608695
FSE,2006-2010,Ing. del Software,A*,115,114.0,0.991304347826087
FSE,2011-2015,Ing. del Software,A*,242,242.0,1.0
FSE,2016-2020,Ing. del Software,A*,143,143.0,1.0
GD,2001-2005,Teoría,A,271,260.0,0.959409594095941
GD,2006-2010,Teoría,A,228,222.0,0.9736842105263158
GD,2011-2015,Teoría,A,243,241.0,0.9917695473251029
GD,2016-2020,Teoría,A,214,214.0,1.0
GD,2021-2025,Teoría,A,181,176.0,0.9723756906077348
GECCO,2001-2005,IA / ML,A,859,624.0,0.7264260768335273
GECCO,2006-2010,IA / ML,A,1599,1597.0,0.9987492182614134
GECCO,2011-2015,IA / ML,A,999,998.0,0.998998998998999
GECCO,2016-2020,IA / ML,A,848,838.0,0.9882075471698113
GECCO,2021-2025,IA / ML,A,839,838.0,0.99880810488677
HPCA,2001-2005,Sistemas,A*,150,146.0,0.9733333333333334
HPCA,2006-2010,Sistemas,A*,178,173.0,0.9719101123595506
HPCA,2011-2015,Sistemas,A*,255,255.0,1.0
HPCA,2016-2020,Sistemas,A*,284,277.0,0.9753521126760564
HPCA,2021-2025,Sistemas,A*,450,435.0,0.9666666666666667
HPDC,2001-2005,Sistemas,A,210,172.0,0.819047619047619
HPDC,2006-2010,Sistemas,A,265,261.0,0.9849056603773585
HPDC,2011-2015,Sistemas,A,163,132.0,0.8098159509202454
HPDC,2016-2020,Sistemas,A,133,131.0,0.9849624060150376
HPDC,2021-2025,Sistemas,A,200,199.0,0.995
HRI,2006-2010,HCI,A*,373,365.0,0.9785522788203753
HRI,2011-2015,HCI,A*,659,514.0,0.779969650986343
HRI,2016-2020,HCI,A*,536,525.0,0.9794776119402985
HRI,2021-2025,HCI,A*,778,776.0,0.9974293059125964
HotOS,2001-2005,Sistemas,A,111,51.0,0.4594594594594595
HotOS,2006-2010,Sistemas,A,43,0.0,0.0
HotOS,2011-2015,Sistemas,A,89,0.0,0.0
HotOS,2016-2020,Sistemas,A,59,58.0,0.9830508474576272
HotOS,2021-2025,Sistemas,A,92,91.0,0.9891304347826086
ICALP,2001-2005,Teoría,A*,486,475.0,0.977366255144033
ICALP,2006-2010,Teoría,A*,81,81.0,1.0
ICALP,2016-2020,Teoría,A*,753,673.0,0.8937583001328021
ICALP,2021-2025,Teoría,A*,747,710.0,0.9504685408299867
ICAPS,2001-2005,IA / ML,A*,106,0.0,0.0
ICAPS,2006-2010,IA / ML,A*,254,15.0,0.05905511811023622
ICAPS,2011-2015,IA / ML,A*,295,9.0,0.030508474576271188
ICAPS,2016-2020,IA / ML,A*,360,38.0,0.10555555555555556
ICAPS,2021-2025,IA / ML,A*,243,85.0,0.3497942386831276
ICCAD,2001-2005,Sistemas,A,636,496.0,0.779874213836478
ICCAD,2006-2010,Sistemas,A,677,657.0,0.9704579025110783
ICCAD,2011-2015,Sistemas,A,612,600.0,0.9803921568627451
ICCAD,2016-2020,Sistemas,A,719,704.0,0.9791376912378303
ICCAD,2021-2025,Sistemas,A,1067,1060.0,0.993439550140581
ICCV,2001-2005,IA / ML,A*,665,541.0,0.8135338345864662
ICCV,2006-2010,IA / ML,A*,697,691.0,0.9913916786226685
ICCV,2011-2015,IA / ML,A*,1319,1309.0,0.9924184988627748
ICCV,2016-2020,IA / ML,A*,1696,1632.0,0.9622641509433962
ICCV,2021-2025,IA / ML,A*,3767,3689.0,0.9792938677993098
ICDAR,2001-2005,IA / ML,A,728,701.0,0.9629120879120879
ICDAR,2006-2010,IA / ML,A,535,521.0,0.9738317757009346
ICDAR,2011-2015,IA / ML,A,836,828.0,0.9904306220095693
ICDAR,2016-2020,IA / ML,A,472,460.0,0.9745762711864406
ICDCS,2001-2005,Sistemas,A,407,397.0,0.9754299754299754
ICDCS,2006-2010,Sistemas,A,416,404.0,0.9711538461538461
ICDCS,2011-2015,Sistemas,A,394,389.0,0.9873096446700508
ICDCS,2016-2020,Sistemas,A,976,958.0,0.9815573770491803
ICDCS,2021-2025,Sistemas,A,654,648.0,0.9908256880733946
ICDE,2001-2005,Bases de datos,A*,559,521.0,0.9320214669051878
ICDE,2006-2010,Bases de datos,A*,1003,991.0,0.9880358923230309
ICDE,2011-2015,Bases de datos,A*,727,721.0,0.9917469050894085
ICDE,2016-2020,Bases de datos,A*,1217,1182.0,0.971240755957272
ICDE,2021-2025,Bases de datos,A*,1918,1906.0,0.9937434827945777
ICDM,2001-2005,Bases de datos,A*,612,589.0,0.9624183006535948
ICDM,2006-2010,Bases de datos,A*,700,689.0,0.9842857142857143
ICDM,2011-2015,Bases de datos,A*,747,741.0,0.9919678714859438
ICDM,2016-2020,Bases de datos,A*,908,896.0,0.986784140969163
ICDM,2021-2025,Bases de datos,A*,867,861.0,0.9930795847750865
ICDT,2001-2005,Bases de datos,A,84,76.0,0.9047619047619048
ICDT,2006-2010,Bases de datos,A,78,76.0,0.9743589743589743
ICDT,2011-2015,Bases de datos,A,126,115.0,0.9126984126984127
ICDT,2016-2020,Bases de datos,A,119,103.0,0.865546218487395
ICDT,2021-2025,Bases de datos,A,131,117.0,0.8931297709923665
ICER,2001-2005,HCI,A,16,15.0,0.9375
ICER,2006-2010,HCI,A,71,71.0,1.0
ICER,2011-2015,HCI,A,168,168.0,1.0
ICER,2016-2020,HCI,A,268,268.0,1.0
ICER,2021-2025,HCI,A,60,60.0,1.0
ICFP,2001-2005,Ing. del Software,A,132,129.0,0.9772727272727273
ICFP,2006-2010,Ing. del Software,A,171,168.0,0.9824561403508771
ICFP,2011-2015,Ing. del Software,A,185,185.0,1.0
ICFP,2016-2020,Ing. del Software,A,40,40.0,1.0
ICLR,2016-2020,IA / ML,A*,750,266.0,0.3546666666666667
ICLR,2021-2025,IA / ML,A*,9491,9346.0,0.9847223685596881
ICME,2001-2005,IA / ML,A,1860,1793.0,0.9639784946236559
ICME,2006-2010,IA / ML,A,2303,2256.0,0.9795918367346939
ICME,2011-2015,IA / ML,A,1189,1180.0,0.992430613961312
ICME,2016-2020,IA / ML,A,1128,1106.0,0.9804964539007093
ICME,2021-2025,IA / ML,A,2904,2883.0,0.9927685950413223
ICML,2001-2005,IA / ML,A*,535,264.0,0.4934579439252336
ICML,2006-2010,IA / ML,A*,786,643.0,0.8180661577608143
ICML,2011-2015,IA / ML,A*,975,228.0,0.23384615384615384
ICML,2016-2020,IA / ML,A*,3236,1306.0,0.40358467243510504
ICML,2021-2025,IA / ML,A*,10112,8138.0,0.8047863924050633
ICPC,2006-2010,Ing. del Software,A,210,208.0,0.9904761904761905
ICPC,2011-2015,Ing. del Software,A,198,198.0,1.0
ICPC,2016-2020,Ing. del Software,A,227,225.0,0.9911894273127754
ICPC,2021-2025,Ing. del Software,A,260,258.0,0.9923076923076923
ICRA,2001-2005,IA / ML,A*,3703,3631.0,0.9805563056980826
ICRA,2006-2010,IA / ML,A*,3737,3677.0,0.9839443403799839
ICRA,2011-2015,IA / ML,A*,4703,4672.0,0.9934084626833936
ICRA,2016-2020,IA / ML,A*,4402,4258.0,0.9672875965470241
ICRA,2021-2025,IA / ML,A*,7020,6884.0,0.9806267806267807
ICS,2001-2005,Sistemas,A,193,190.0,0.9844559585492227
ICS,2006-2010,Sistemas,A,213,211.0,0.9906103286384976
ICS,2011-2015,Sistemas,A,244,244.0,1.0
ICS,2016-2020,Sistemas,A,194,192.0,0.9896907216494846
ICS,2021-2025,Sistemas,A,246,246.0,1.0
ICSA,2016-2020,Ing. del Software,A,98,97.0,0.9897959183673469
ICSA,2021-2025,Ing. del Software,A,95,83.0,0.8736842105263158
ICSE,2001-2005,Ing. del Software,A*,647,570.0,0.8809891808346213
ICSE,2006-2010,Ing. del Software,A*,450,443.0,0.9844444444444445
ICSE,2011-2015,Ing. del Software,A*,794,778.0,0.9798488664987406
ICSE,2016-2020,Ing. del Software,A*,560,553.0,0.9875
ICSE,2021-2025,Ing. del Software,A*,1030,1023.0,0.9932038834951457
ICSME,2001-2005,Ing. del Software,A,415,382.0,0.9204819277108434
ICSME,2006-2010,Ing. del Software,A,386,370.0,0.9585492227979274
ICSME,2011-2015,Ing. del Software,A,438,431.0,0.9840182648401826
ICSME,2016-2020,Ing. del Software,A,453,437.0,0.9646799116997793
ICSME,2021-2025,Ing. del Software,A,416,412.0,0.9903846153846154
ICSOC,2001-2005,Ing. del Software,A,128,124.0,0.96875
ICSOC,2006-2010,Ing. del Software,A,268,261.0,0.9738805970149254
ICSOC,2011-2015,Ing. del Software,A,269,261.0,0.9702602230483272
ICSOC,2016-2020,Ing. del Software,A,258,255.0,0.9883720930232558
ICSOC,2021-2025,Ing. del Software,A,115,114.0,0.991304347826087
ICST,2006-2010,Ing. del Software,A,169,164.0,0.9704142011834319
ICST,2011-2015,Ing. del Software,A,349,345.0,0.9885386819484241
ICST,2016-2020,Ing. del Software,A,268,228.0,0.8507462686567164
ICST,2021-2025,Ing. del Software,A,310,307.0,0.9903225806451613
ICWS,2001-2005,Redes,A,344,240.0,0.6976744186046512
ICWS,2006-2010,Redes,A,718,695.0,0.967966573816156
ICWS,2011-2015,Redes,A,518,509.0,0.9826254826254827
ICWS,2016-2020,Redes,A,431,425.0,0.9860788863109049
ICWS,2021-2025,Redes,A,531,528.0,0.9943502824858758
ICWSM,2006-2010,IA / ML,A,270,17.0,0.06296296296296296
ICWSM,2011-2015,IA / ML,A,503,39.0,0.0775347912524851
ICWSM,2016-2020,IA / ML,A,502,58.0,0.11553784860557768
ICWSM,2021-2025,IA / ML,A,677,461.0,0.6809453471196455
IEEE VIS,2001-2005,HCI,A,477,417.0,0.8742138364779874
IJCAI,2001-2005,IA / ML,A*,846,193.0,0.2281323877068558
IJCAI,2006-2010,IA / ML,A*,823,136.0,0.1652490886998785
IJCAI,2011-2015,IA / ML,A*,1635,235.0,0.1437308868501529
IJCAI,2016-2020,IA / ML,A*,4064,3676.0,0.9045275590551181
IJCAI,2021-2025,IA / ML,A*,4758,3671.0,0.7715426649852879
IJCAR,2001-2005,Teoría,A,95,95.0,1.0
IJCAR,2006-2010,Teoría,A,140,138.0,0.9857142857142858
IJCAR,2011-2015,Teoría,A,84,83.0,0.9880952380952381
IJCAR,2016-2020,Teoría,A,84,84.0,1.0
IJCAR,2021-2025,Teoría,A,43,43.0,1.0
IMC,2021-2025,Redes,A,322,318.0,0.9875776397515528
INFOCOM,2001-2005,Redes,A*,1142,1084.0,0.9492119089316988
INFOCOM,2006-2010,Redes,A*,1733,1696.0,0.9786497403346798
INFOCOM,2011-2015,Redes,A*,1918,1904.0,0.9927007299270073
INFOCOM,2016-2020,Redes,A*,1455,1444.0,0.9924398625429554
INFOCOM,2021-2025,Redes,A*,1254,1222.0,0.9744816586921851
IPDPS,2001-2005,Sistemas,A,1934,1856.0,0.9596690796277145
IPDPS,2006-2010,Sistemas,A,1916,1869.0,0.9754697286012526
IPDPS,2011-2015,Sistemas,A,581,576.0,0.9913941480206541
IPDPS,2016-2020,Sistemas,A,569,560.0,0.984182776801406
IPDPS,2021-2025,Sistemas,A,528,525.0,0.9943181818181818
IROS,2001-2005,IA / ML,A,2821,2742.0,0.9719957461892946
IROS,2006-2010,IA / ML,A,4323,4232.0,0.9789498033772843
IROS,2011-2015,IA / ML,A,4273,4231.0,0.9901708401591388
IROS,2016-2020,IA / ML,A,4856,4761.0,0.9804365733113674
IROS,2021-2025,IA / ML,A,7008,6898.0,0.9843036529680366
ISCA,2001-2005,Sistemas,A*,164,152.0,0.926829268292683
ISCA,2006-2010,Sistemas,A*,214,209.0,0.9766355140186916
ISCA,2011-2015,Sistemas,A*,247,243.0,0.9838056680161943
ISCA,2016-2020,Sistemas,A*,319,295.0,0.9247648902821317
ISCA,2021-2025,Sistemas,A*,460,458.0,0.9956521739130435
ISLPED,2001-2005,Sistemas,A,385,369.0,0.9584415584415584
ISLPED,2006-2010,Sistemas,A,407,406.0,0.9975429975429976
ISLPED,2011-2015,Sistemas,A,372,342.0,0.9193548387096774
ISLPED,2016-2020,Sistemas,A,284,274.0,0.9647887323943662
ISLPED,2021-2025,Sistemas,A,257,257.0,1.0
ISMAR,2001-2005,HCI,A*,244,218.0,0.8934426229508197
ISMAR,2006-2010,HCI,A*,284,276.0,0.971830985915493
ISMAR,2011-2015,HCI,A*,417,390.0,0.935251798561151
ISMAR,2016-2020,HCI,A*,159,157.0,0.9874213836477987
ISMAR,2021-2025,HCI,A*,574,564.0,0.9825783972125436
ISMB,2001-2005,Bioinformática,A,43,40.0,0.9302325581395349
ISMB,2006-2010,Bioinformática,A,50,48.0,0.96
ISSRE,2001-2005,Ing. del Software,A,194,180.0,0.9278350515463918
ISSRE,2006-2010,Ing. del Software,A,188,186.0,0.9893617021276596
ISSRE,2011-2015,Ing. del Software,A,198,196.0,0.98989898989899
ISSRE,2016-2020,Ing. del Software,A,182,179.0,0.9835164835164835
