venue,window,area,level,total_papers,resolved_papers,coverage
SIGIR,2016-2020,Bases de datos,A*,1384,1384.0,1.0
SIGIR,2021-2025,Bases de datos,A*,2224,2220.0,0.9982014388489209
SIGMETRICS,2001-2005,Sistemas,A*,199,191.0,0.9597989949748744
SIGMETRICS,2006-2010,Sistemas,A*,153,149.0,0.9738562091503268
SIGMETRICS,2011-2015,Sistemas,A*,294,294.0,1.0
SIGMETRICS,2016-2020,Sistemas,A*,54,54.0,1.0
SIGMOD,2001-2005,Bases de datos,A*,495,464.0,0.9373737373737374
SIGMOD,2006-2010,Bases de datos,A*,631,626.0,0.9920760697305864
SIGMOD,2011-2015,Bases de datos,A*,737,737.0,1.0
SIGMOD,2016-2020,Bases de datos,A*,913,911.0,0.9978094194961665
SIGMOD,2021-2025,Bases de datos,A*,492,492.0,1.0
SIGSPATIAL,2001-2005,Bases de datos,A,85,85.0,1.0
SIGSPATIAL,2006-2010,Bases de datos,A,363,354.0,0.9752066115702479
SIGSPATIAL,2011-2015,Bases de datos,A,470,463.0,0.9851063829787234
SIGSPATIAL,2016-2020,Bases de datos,A,507,497.0,0.980276134122288
SIGSPATIAL,2021-2025,Bases de datos,A,641,633.0,0.9875195007800313
SODA,2001-2005,Teoría,A*,647,0.0,0.0
SODA,2006-2010,Teoría,A*,686,152.0,0.22157434402332363
SODA,2011-2015,Teoría,A*,682,451.0,0.6612903225806451
SODA,2016-2020,Teoría,A*,876,574.0,0.6552511415525114
SODA,2021-2025,Teoría,A*,903,676.0,0.7486157253599114
SOSP,2001-2005,Sistemas,A*,112,101.0,0.9017857142857143
SOSP,2006-2010,Sistemas,A*,48,48.0,1.0
SOSP,2011-2015,Sistemas,A*,88,81.0,0.9204545454545454
SOSP,2016-2020,Sistemas,A*,77,75.0,0.974025974025974
SOSP,2021-2025,Sistemas,A*,206,206.0,1.0
SOUPS,2001-2005,Seguridad,A,10,10.0,1.0
SOUPS,2006-2010,Seguridad,A,125,123.0,0.984
SOUPS,2011-2015,Seguridad,A,87,62.0,0.7126436781609196
SOUPS,2016-2020,Seguridad,A,68,42.0,0.6176470588235294
SOUPS,2021-2025,Seguridad,A,63,0.0,0.0
SP,2001-2005,Seguridad,A*,98,94.0,0.9591836734693877
SP,2006-2010,Seguridad,A*,98,92.0,0.9387755102040817
SP,2011-2015,Seguridad,A*,211,209.0,0.990521327014218
SP,2016-2020,Seguridad,A*,262,259.0,0.9885496183206107
STACS,2001-2005,Teoría,A,276,270.0,0.9782608695652174
STACS,2006-2010,Teoría,A,292,246.0,0.8424657534246576
STACS,2011-2015,Teoría,A,297,241.0,0.8114478114478114
STACS,2016-2020,Teoría,A,298,242.0,0.8120805369127517
STACS,2021-2025,Teoría,A,314,290.0,0.9235668789808917
STOC,2001-2005,Teoría,A*,416,404.0,0.9711538461538461
