area,KDD_as_DB,SIGIR_CIKM_as_IAML,WWW_SIGIR_CIKM_as_IAML_KDD_as_DB,WWW_as_IAML,baseline,max_diff_pp
IA/ML,,0.04269854824935952,0.0481283422459893,0.06769230769230769,0.03694843168527379,3.07438760070339
Bases de datos,0.043454345434543455,0.04381338742393509,0.04018691588785047,0.04107520386590154,0.04283604135893648,0.362647153608462
IA / ML,0.03877061892006203,0.03877061892006203,0.03877061892006203,0.03877061892006203,0.039177828727726155,0.040720980766412174
HCI,0.026513122656668452,0.026513122656668452,0.026513122656668452,0.026513122656668452,0.026513122656668452,0.0
Ing. del Software,0.056721915285451195,0.056721915285451195,0.056721915285451195,0.056721915285451195,0.056721915285451195,0.0
Redes,0.14612326043737575,0.14612326043737575,0.14612326043737575,0.14612326043737575,0.14612326043737575,0.0
Seguridad,0.04498714652956298,0.04498714652956298,0.04498714652956298,0.04498714652956298,0.04498714652956298,0.0
Sistemas,0.0681497175141243,0.0681497175141243,0.0681497175141243,0.0681497175141243,0.0681497175141243,0.0
Teoría,0.02165045497332915,0.02165045497332915,0.02165045497332915,0.02165045497332915,0.02165045497332915,0.0
