venue,priority_level,priority_score,inferred_area,ever_astar,years_present,active_article_years_required,recommended_action,manual_include,manual_area,manual_dblp_key_or_booktitle,manual_notes
EUROGRAPH,HIGH,18.4,Visión / Imagen / Gráficos,False,5,12,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
FLOPS,HIGH,18.4,Teoría / Métodos formales / PL,False,5,12,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
FOSSACS,HIGH,18.4,Teoría / Métodos formales / PL,False,6,12,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
HOTNETS,HIGH,18.4,Sistemas / HPC / Arquitectura,False,5,12,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
Hypertext,HIGH,18.4,HCI / CSCW / Documentos,False,5,12,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
I3DG,HIGH,18.2,Visión / Imagen / Gráficos,True,2,6,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
FUZZ-IEEE,HIGH,17.6,Control / Señal / Ingeniería,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
ICARCV,HIGH,17.6,Control / Señal / Ingeniería,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
Coordination,HIGH,17.0,Ingeniería del Software / Servicios,False,4,10,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
DBSEC,HIGH,17.0,Bases de datos / Web / Conocimiento,False,4,10,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
FORTE,HIGH,17.0,Ingeniería del Software / Servicios,False,4,10,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
ITiCSE,HIGH,17.0,Educación / Learning technologies,False,7,15,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
FCT,HIGH,16.6,Teoría / Métodos formales / PL,False,5,8,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
FOIS,HIGH,16.6,Bases de datos / Web / Conocimiento,False,5,8,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
ICONIP,HIGH,16.6,Control / Señal / Ingeniería,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
IJCNN,HIGH,16.6,Control / Señal / Ingeniería,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
ITS,HIGH,16.6,Educación / Learning technologies,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
JELIA,HIGH,16.6,Sin clasificar,False,8,18,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
MOBIHOC,HIGH,16.6,Sin clasificar,False,8,18,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
DOOD,HIGH,16.4,Bases de datos / Web / Conocimiento,False,5,12,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
FODO,HIGH,16.4,Bases de datos / Web / Conocimiento,False,5,12,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
GRID,HIGH,16.4,Sistemas / HPC / Arquitectura,False,5,12,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
MassPar,HIGH,16.4,Sistemas / HPC / Arquitectura,False,5,12,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
CogSci,HIGH,16.0,Sin clasificar,False,7,15,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
ICCS,HIGH,16.0,Sin clasificar,False,7,15,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
ISRR,HIGH,16.0,Sin clasificar,False,7,15,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
ALIFE,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
ICCCN,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
ICSSP,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
IDA,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
IEEE Alife,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
IEEE SSE,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
Interact,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
K-CAP,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
LCN,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
LCTES,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
LPNMR,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
MASCOTS,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
Mobiquitous,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
NOSSDAV,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
Networking,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
PACT,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
PERFORMANCE,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
PG,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
SAS,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
SCOPES,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
SRDS,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
SSPR,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
SSTD,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
TABLEAUX,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
USITS,HIGH,15.6,Sin clasificar,False,6,13,Extraer DBLP y resolver afiliaciones en fase prioritaria,,,,
