venue,conference_name,core_year,level,source_files,n_raw_rows,had_conflict,level_raw_values,policy_2010
EACL,European Association for Computational Linguistics,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
EASE,International Conference on Evaluation and Assessment in Software Engineering,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
EC,ACM Conference on Economics and Computation,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ECAI,European Conference on Artificial Intelligence,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ECCV,European Conference on Computer Vision,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ECIS,European Conference on Information Systems,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ECML,European Conference on Machine Learning (Joined with PKDD from 2008),2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ECML PKDD,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database (PKDD and ECML combined from 2008),2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ECOOP,European Conference on Object-Oriented Programming,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ECRTS,Euromicro Conference on Real-Time Systems,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ECSCW,European Conference on Computer Supported Cooperative Work,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ECWeb,International Conference on Electronic Commerce and Web Technology,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
EDBT,Extending Database Technology,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
EKAW,International Conference on Knowledge Engineering and Knowledge Management,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
EMMSAD,Exploring Modelling Methods in Systems Analysis and Design,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
EMNLP,Empirical Methods in Natural Language Processing,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
EMSOFT,International Conference on Embedded Software,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ESA,European Symposium on Algorithms,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ESEM,International Symposium on Empirical Software Engineering and Measurement,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ESOP,European Symposium on Programming,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ESORICS,European Symposium On Research In Computer Security,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ESQARU,International Joint Conference on Qualitative and Quantitative Practical Reasoning,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ESWC,Extended Semantic Web Conference (was European Semantic Web Conference),2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
EUROGRAPH,European Graphics Conference,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
EWSN,International Conference on Embedded Wireless Systems and Networks (wasEuropean Conference on Wireless Sensor Networks),2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
EuroCOLT,European Conference on Computational Learning Theory (Now in COLT),2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
EuroMPI,European MPI Users' Group Conference,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
EuroPar,International European Conference on Parallel and Distributed Computing (was International Conference on Parallel Processing),2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
EuroSPI,European SPI,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
EuroSys,Eurosys Conference,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
FCCM,IEEE Symposium on Field Programmable Custom Computing Machines,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
FLOPS,International Symposium on Functional and Logic Programming,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
FM,International Symposium on Formal Methods (was Formal Methods Europe FME),2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
FODO,International Conference on Foundation on Data Organization,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
FORTE,"IFIP Joint International Conference on Formal Description Techniques and Protocol Specification, Testing, And Verification",2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
FPSAC,Formal Power Series and Algebraic Combinatorics,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
FSE,"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
FSR,International Conference on Field and Service Robotics,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
FST&TCS,Foundations of Software Technology and Theoretical Computer Science,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
FUZZ-IEEE,IEEE International Conference on Fuzzy Systems,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
GD,Graph Drawing,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
GRID,IEEE/ACM International Conference on Grid Computing,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
Group,ACM Special Interest Group on Supporting Group Work (was SIGGRoup),2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
HOTCHIPS (HCS),Symposium on High Performance Chips,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
HOTNETS,ACM Workshop on Hot Topics in Networks,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
HPDC,ACM International Symposium on High Performance Distributed Computing,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
HiPC,International Conference on High Performance Computing,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
HotOS,USENIX Workshop on Hot Topics in Operating Systems,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
Hypertext,ACM Conference on Hypertext and Social Media,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICADL,International Conference of Asian Digital Libraries,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICALP,International Colloquium on Automata Languages and Programming,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
ICALT,IEEE International Conference on Advanced Learning Technologies,2008,A,COREA-2008.csv,1,False,A,infer_2008_2013
