venue,core_year,level_2008,level_2013,level_2010_inferred,policy_2010,reason
1256,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1257,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
126,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1261,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1262,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1271,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1274,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1281,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1282,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1287,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1289,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1293,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1294,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1298,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1299,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
13,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
130,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1304,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1305,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1306,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1307,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1313,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1314,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1318,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1325,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1332,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1336,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1339,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1341,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1342,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1344,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1346,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1347,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1349,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1357,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1362,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1365,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1367,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
137,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1374,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1376,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1382,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1383,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1386,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
139,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1398,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1400,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1407,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1409,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
141,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1410,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1411,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1412,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1416,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1420,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1424,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1428,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1433,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1434,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1451,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
147,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1484,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
15,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
150,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
151,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1515,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1518,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1529,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
153,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1548,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1551,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1560,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1561,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1578,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1582,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1596,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1598,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
16,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1607,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1613,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1619,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1624,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1629,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1638,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1639,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1648,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1652,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1657,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1660,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1665,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1667,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1676,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1679,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
168,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1681,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1684,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1691,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1694,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
17,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1701,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1704,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1706,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1709,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1727,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
173,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1735,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1738,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
174,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1758,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1760,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1761,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1763,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1766,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1770,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1771,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1773,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
1785,2010,-,-,-,infer_2008_2013,in 2010 list but absent from both adjacent rankings; excluded
