venue,conference_name,core_year,level,level_in_file,ranking_version_in_file,source_file,source_venue_col,undifferentiated_2010
ESORICS,European Symposium On Research In Computer Security,2008,A,A,CORE2008,COREA-2008.csv,2,False
EuroSys,Eurosys Conference,2008,A,A,CORE2008,COREA-2008.csv,2,False
EMMSAD,Exploring Modelling Methods in Systems Analysis and Design,2008,A,A,CORE2008,COREA-2008.csv,2,False
ESWC,Extended Semantic Web Conference (was European Semantic Web Conference),2008,A,A,CORE2008,COREA-2008.csv,2,False
EDBT,Extending Database Technology,2008,A,A,CORE2008,COREA-2008.csv,2,False
FPSAC,Formal Power Series and Algebraic Combinatorics,2008,A,A,CORE2008,COREA-2008.csv,2,False
FST&TCS,Foundations of Software Technology and Theoretical Computer Science,2008,A,A,CORE2008,COREA-2008.csv,2,False
GD,Graph Drawing,2008,A,A,CORE2008,COREA-2008.csv,2,False
CSB,IEEE Computational Systems Bioinformatics Conference,2008,A,A,CORE2008,COREA-2008.csv,2,False
CSFW,IEEE Computer Security Foundations Workshop,2008,A,A,CORE2008,COREA-2008.csv,2,False
CVPR,IEEE Conference on Computer Vision and Pattern Recognition,2008,A,A,CORE2008,COREA-2008.csv,2,False
CDC,IEEE Conference on Decision and Control,2008,A,A,CORE2008,COREA-2008.csv,2,False
LCN,IEEE Conference on Local Computer Networks,2008,A,A,CORE2008,COREA-2008.csv,2,False
OPENARCH,IEEE Conference on Open Architecture and Network Programming,2008,A,A,CORE2008,COREA-2008.csv,2,False
CEC,IEEE Congress on Evolutionary Computation,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICALT,IEEE International Conference on Advanced Learning Technologies,2008,A,A,CORE2008,COREA-2008.csv,2,False
AVSS,IEEE International Conference on Advanced Video and Signal Based Surveillance,2008,A,A,CORE2008,COREA-2008.csv,2,False
CLUSTER,IEEE International Conference on Cluster Computing,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICC,IEEE International Conference on Communications,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICCL,IEEE International Conference on Computer Languages,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICDAR,IEEE International Conference on Document Analysis and Recognition,2008,A,A,CORE2008,COREA-2008.csv,2,False
e-Science,IEEE International Conference on e-Science and Grid Computing,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICECCS,IEEE International Conference on Engineering of Complex Computer Systems,2008,A,A,CORE2008,COREA-2008.csv,2,False
FUZZ-IEEE,IEEE International Conference on Fuzzy Systems,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICIP,IEEE International Conference on Image Processing,2008,A,A,CORE2008,COREA-2008.csv,2,False
MASS,IEEE International Conference on Mobile Ad-hoc and Sensor Systems,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICMCS,IEEE International Conference on Multimedia Computing and Systems,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICNN,IEEE International Conference on Neural Networks,2008,A,A,CORE2008,COREA-2008.csv,2,False
P2P,IEEE International Conference on Peer to Peer Computing,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICSME,"IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)",2008,A,A,CORE2008,COREA-2008.csv,2,False
IEEE SSE,IEEE International Conference on Software Services Engineering (previously IEEE International Conference on Services Computing SCC),2008,A,A,CORE2008,COREA-2008.csv,2,False
VCIP,IEEE International Conference on Visual Communications and Image Processing (was SPIE ... pre 2011),2008,A,A,CORE2008,COREA-2008.csv,2,False
IJCNN,IEEE International Joint Conference on Neural Networks,2008,A,A,CORE2008,COREA-2008.csv,2,False
IPDPS,IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP),2008,A,A,CORE2008,COREA-2008.csv,2,False
RE,IEEE International Requirements Engineering Conference,2008,A,A,CORE2008,COREA-2008.csv,2,False
ISSCC,IEEE International Solid-State Circuits Conference,2008,A,A,CORE2008,COREA-2008.csv,2,False
WoWMoM,"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks",2008,A,A,CORE2008,COREA-2008.csv,2,False
IEEE Alife,IEEE International Symposium on Artificial Life,2008,A,A,CORE2008,COREA-2008.csv,2,False
CCGRID,"IEEE International Symposium on Cluster, Cloud and Grid Computing",2008,A,A,CORE2008,COREA-2008.csv,2,False
SMS,IEEE International Symposium on Software Metrics,2008,A,A,CORE2008,COREA-2008.csv,2,False
RTAS,IEEE Real-Time and Embedded Technology and Applications Symposium,2008,A,A,CORE2008,COREA-2008.csv,2,False
FCCM,IEEE Symposium on Field Programmable Custom Computing Machines,2008,A,A,CORE2008,COREA-2008.csv,2,False
SP,IEEE Symposium on Security and Privacy,2008,A,A,CORE2008,COREA-2008.csv,2,False
VL/HCC,IEEE Symposium on Visual Languages and Human-Centric Computing (was VL),2008,A,A,CORE2008,COREA-2008.csv,2,False
IEEETKDE,IEEE Transactions on Knowledge and Data Engineering,2008,A,A,CORE2008,COREA-2008.csv,2,False
WACV,IEEE Workshop on Applications of Computer Vision,2008,A,A,CORE2008,COREA-2008.csv,2,False
ICCAD,IEEE/ACM International Conference on Computer-Aided Design,2008,A,A,CORE2008,COREA-2008.csv,2,False
GRID,IEEE/ACM International Conference on Grid Computing,2008,A,A,CORE2008,COREA-2008.csv,2,False
Networking,IFIP International Conference on Networking,2008,A,A,CORE2008,COREA-2008.csv,2,False
PERFORMANCE,"IFIP International Symposium on Computing Performance, Modelling, Measurement and Evaluation",2008,A,A,CORE2008,COREA-2008.csv,2,False
FORTE,"IFIP Joint International Conference on Formal Description Techniques and Protocol Specification, Testing, And Verification",2008,A,A,CORE2008,COREA-2008.csv,2,False
Interact,IFIP TC13 Conference on Human-Computer Interaction,2008,A,A,CORE2008,COREA-2008.csv,2,False
DBSEC,IFIP WG 11.3 Working Conference on Data and Applications Security (also known as DBSEC),2008,A,A,CORE2008,COREA-2008.csv,2,False
PRO-VE,IFIP Working Conferences on Virtual Enterprises,2008,A,A,CORE2008,COREA-2008.csv,2,False
